word,plaintext_hex,ciphertext_hex,plaintext_bits,ciphertext_bits
claim,636c61696d030303,4860bcef27482852,0110001101101100011000010110100101101101000000110000001100000011,0100100001100000101111001110111100100111010010000010100001010010
couch,636f756368030303,5160b0ef3b083412,0110001101101111011101010110001101101000000000110000001100000011,0101000101100000101100001110111100111011000010000011010000010010
out,6f75740505050505,073596af4c8c1017,0110111101110101011101000000010100000101000001010000010100000101,0000011100110101100101101010111101001100100011000001000000010111
coal,636f616c04040404,5821bcfa36d93903,0110001101101111011000010110110000000100000001000000010000000100,0101100000100001101111001111101000110110110110010011100100000011
rolled,726f6c6c65640202,dc2178baf23cb927,0111001001101111011011000110110001100101011001000000001000000010,1101110000100001011110001011101011110010001111001011100100100111
crew,6372657704040404,59218bfa11d90f03,0110001101110010011001010111011100000100000001000000010000000100,0101100100100001100010111111101000010001110110010000111100000011
effect,6566666563740202,5d61b89a761c2847,0110010101100110011001100110010101100011011101000000001000000010,0101110101100001101110001001101001110110000111000010100001000111
however,686f776576657201,1139b4227aac7476,0110100001101111011101110110010101110110011001010111001000000001,0001000100111001101101000010001001111010101011000111010001110110
a,6107070707070707,7b70effa49c95517,0110000100000111000001110000011100000111000001110000011100000111,0111101101110000111011111111101001001001110010010101010100010111
love,6c6f766504040404,5521b0fa3ed97003,0110110001101111011101100110010100000100000001000000010000000100,0101010100100001101100001111101000111110110110010111000000000011
toward,746f776172640202,9121757afabcf427,0111010001101111011101110110000101110010011001000000001000000010,1001000100100001011101010111101011111010101111001111010000100111
killed,6b696c6c65640202,0c21e8ba223c7927,0110101101101001011011000110110001100101011001000000001000000010,0000110000100001111010001011101000100010001111000111100100100111
blind,626c696e64030303,4c20f8ef67482d12,0110001001101100011010010110111001100100000000110000001100000011,0100110000100000111110001110111101100111010010000010110100010010
would,776f756c64030303,d02070efba48b512,0111011101101111011101010110110001100100000000110000001100000011,1101000000100000011100001110111110111010010010001011010100010010
became,626563616d650202,4971fdea666c3c77,0110001001100101011000110110000101101101011001010000001000000010,0100100101110001111111011110101001100110011011000011110001110111
canvas,63616e7661730202,4821aeca300c2a57,0110001101100001011011100111011001100001011100110000001000000010,0100100000100001101011101100101000110000000011000010101001010111
arrange,617272616e676501,517dc1be5a6c4036,0110000101110010011100100110000101101110011001110110010100000001,0101000101111101110000011011111001011010011011000100000000110110
still,7374696c6c030303,dc6008af86488d52,0111001101110100011010010110110001101100000000110000001100000011,1101110001100000000010001010111110000110010010001000110101010010
steel,737465656c030303,d96008af82488c52,0111001101110100011001010110010101101100000000110000001100000011,1101100101100000000010001010111110000010010010001000110001010010
week,7765656b04040404,c82179faa3d9bc03,0111011101100101011001010110101100000100000001000000010000000100,1100100000100001011110011111101010100011110110011011110000000011
while,7768696c65030303,cc2078afb608ad12,0111011101101000011010010110110001100101000000110000001100000011,1100110000100000011110001010111110110110000010001010110100010010
set,7365740505050505,c73536afac8cb017,0111001101100101011101000000010100000101000001010000010100000101,1100011100110101001101101010111110101100100011001011000000010111
each,6561636804040404,4921adfa76d92d03,0110010101100001011000110110100000000100000001000000010000000100,0100100100100001101011011111101001110110110110010010110100000011
never,6e65766572030303,4520f06f2e887012,0110111001100101011101100110010101110010000000110000001100000011,0100010100100000111100000110111100101110100010000111000000010010
band,62616e6404040404,4921edfa73d92803,0110001001100001011011100110010000000100000001000000010000000100,0100100100100001111011011111101001110011110110010010100000000011
soil,736f696c04040404,dc2138fab6d9bd03,0111001101101111011010010110110000000100000001000000010000000100,1101110000100001001110001111101010110110110110011011110100000011
jumped,6a756d7065640202,0d219eba053c5f27,0110101001110101011011010111000001100101011001000000001000000010,0000110100100001100111101011101000000101001111000101111100100111
defend,646566656e640202,0d61f8ba667c7827,0110010001100101011001100110010101101110011001000000001000000010,0000110101100001111110001011101001100110011111000111100000100111
term,7465726d04040404,802171faead9f103,0111010001100101011100100110110100000100000001000000010000000100,1000000000100001011100011111101011101010110110011111000100000011
bomb,626f6d6204040404,5c21fdfa77d93d03,0110001001101111011011010110001000000100000001000000010000000100,0101110000100001111111011111101001110111110110010011110100000011
hours,686f757273030303,1060b32f79887752,0110100001101111011101010111001001110011000000110000001100000011,0001000001100000101100110010111101111001100010000111011101010010
beach,6265616368030303,4960fcef67083812,0110001001100101011000010110001101101000000000110000001100000011,0100100101100000111111001110111101100111000010000011100000010010
health,6865616c74680202,0831bc7a66fc7937,0110100001100101011000010110110001110100011010000000001000000010,0000100000110001101111000111101001100110111111000111100100110111
isolate,69736f6c61746501,1c2dd8de021c0d46,0110100101110011011011110110110001100001011101000110010100000001,0001110000101101110110001101111000000010000111000000110101000110
deliver,64656c6976657201,0c39f82263ac7876,0110010001100101011011000110100101110110011001010111001000000001,0000110000111001111110000010001001100011101011000111100001110110
speak,737065616b030303,d92019ef82489c52,0111001101110000011001010110000101101011000000110000001100000011,1101100100100000000110011110111110000010010010001001110001010010
head,6865616404040404,0921bdfa67d97803,0110100001100101011000010110010000000100000001000000010000000100,0000100100100001101111011111101001100111110110010111100000000011
pattern,7061747465726e01,852d279abd0ca212,0111000001100001011101000111010001100101011100100110111000000001,1000010100101101001001111001101010111101000011001010001000010010
down,646f776e04040404,1021f4fa7bd97503,0110010001101111011101110110111000000100000001000000010000000100,0001000000100001111101001111101001111011110110010111010100000011
or,6f72060606060606,1e218aaf5c9c0046,0110111101110010000001100000011000000110000001100000011000000110,0001111000100001100010101010111101011100100111000000000001000110
four,666f757204040404,5021b3fa79d97703,0110011001101111011101010111001000000100000001000000010000000100,0101000000100001101100111111101001111001110110010111011100000011
enemy,656e656d79030303,4820a92f62c82d52,0110010101101110011001010110110101111001000000110000001100000011,0100100000100000101010010010111101100010110010000010110101010010
chest,6368657374030303,4920ba6f31c82e12,0110001101101000011001010111001101110100000000110000001100000011,0100100100100000101110100110111100110001110010000010111000010010
cook,636f6f6b04040404,5c21b9fa33d93c03,0110001101101111011011110110101100000100000001000000010000000100,0101110000100001101110011111101000110011110110010011110000000011
quiet,7175696574030303,cd20586fc6c8dc12,0111000101110101011010010110010101110100000000110000001100000011,1100110100100000010110000110111111000110110010001101110000010010
iron,69726f6e04040404,1c21c8fa13d90d03,0110100101110010011011110110111000000100000001000000010000000100,0001110000100001110010001111101000010011110110010000110100000011
year,7965617204040404,88217ffaa5d9bb03,0111100101100101011000010111001000000100000001000000010000000100,1000100000100001011111111111101010100101110110011011101100000011
card,6361726404040404,4121a1fa3bd92003,0110001101100001011100100110010000000100000001000000010000000100,0100000100100001101000011111101000111011110110010010000000000011
them,7468656d04040404,882179faf2d9ed03,0111010001101000011001010110110100000100000001000000010000000100,1000100000100001011110011111101011110010110110011110110100000011
valley,76616c6c65790202,cc21288af20ce907,0111011001100001011011000110110001100101011110010000001000000010,1100110000100001001010001000101011110010000011001110100100000111
dilemma,64696c656d6d6101,0d6de8fa62787872,0110010001101001011011000110010101101101011011010110000100000001,0000110101101101111010001111101001100010011110000111100001110010
said,7361696404040404,cd2129fab7d9ac03,0111001101100001011010010110010000000100000001000000010000000100,1100110100100001001010011111101010110111110110011010110000000011
handle,68616e646c650202,0971adaa736c6877,0110100001100001011011100110010001101100011001010000001000000010,0000100101110001101011011010101001110011011011000110100001110111
root,726f6f7404040404,dd217bfaf1d9be03,0111001001101111011011110111010000000100000001000000010000000100,1101110100100001011110111111101011110001110110011011111000000011
counsel,636f756e73656c01,507db02a3bac3576,0110001101101111011101010110111001110011011001010110110000000001,0101000001111101101100000010101000111011101011000011010101110110
college,636f6c6c65676501,5c3db8be322c3936,0110001101101111011011000110110001100101011001110110010100000001,0101110000111101101110001011111000110010001011000011100100110110
map,6d61700505050505,0335e2af7c8c2017,0110110101100001011100000000010100000101000001010000010100000101,0000001100110101111000101010111101111100100011000010000000010111
force,666f726365030303,5120b0af7b087012,0110011001101111011100100110001101100101000000110000001100000011,0101000100100000101100001010111101111011000010000111000000010010
truck,747275636b030303,912040efdb48c452,0111010001110010011101010110001101101011000000110000001100000011,1001000100100000010000001110111111011011010010001100010001010010
shoe,73686f6504040404,cd2138fab2d9ac03,0111001101101000011011110110010100000100000001000000010000000100,1100110100100001001110001111101010110010110110011010110000000011
oxygen,6f787967656e0202,053191ba5f2c0527,0110111101111000011110010110011101100101011011100000001000000010,0000010100110001100100011011101001011111001011000000010100100111
moon,6d6f6f6e04040404,1c21f8fa73d93d03,0110110101101111011011110110111000000100000001000000010000000100,0001110000100001111110001111101001110011110110010011110100000011
turn,7475726e04040404,802150facbd9d103,0111010001110101011100100110111000000100000001000000010000000100,1000000000100001010100001111101011001011110110011101000100000011
on,6f6e060606060606,0e21aaaf6c9c2046,0110111101101110000001100000011000000110000001100000011000000110,0000111000100001101010101010111101101100100111000010000001000110
spring,737072696e670202,d07110ba8b6c9037,0111001101110000011100100110100101101110011001110000001000000010,1101000001110001000100001011101010001011011011001001000000110111
silver,73696c7665720202,cc212a9aa00cba17,0111001101101001011011000111011001100101011100100000001000000010,1100110000100001001010101001101010100000000011001011101000010111
spell,7370656c6c030303,d86018af82489d52,0111001101110000011001010110110001101100000000110000001100000011,1101100001100000000110001010111110000010010010001001110101010010
are,6172650505050505,5b35caaf508c4c17,0110000101110010011001010000010100000101000001010000010100000101,0101101100110101110010101010111101010000100011000100110000010111
to,746f060606060606,9e217aaffc9cf046,0111010001101111000001100000011000000110000001100000011000000110,1001111000100001011110101010111111111100100111001111000001000110
reason,726561736f6e0202,c9717efae52cba67,0111001001100101011000010111001101101111011011100000001000000010,1100100101110001011111101111101011100101001011001011101001100111
anxiety,616e786965747901,4429e4966b1c6402,0110000101101110011110000110100101100101011101000111100100000001,0100010000101001111001001001011001101011000111000110010000000010
land,6c616e6404040404,4921adfa33d96803,0110110001100001011011100110010000000100000001000000010000000100,0100100100100001101011011111101000110011110110010110100000000011
instead,696e737465616401,0129e7aa2d382632,0110100101101110011100110111010001100101011000010110010000000001,0000000100101001111001111010101000101101001110000010011000110010
present,70726573656e7401,99390ab291288e22,0111000001110010011001010111001101100101011011100111010000000001,1001100100111001000010101011001010010001001010001000111000100010
data,6461746104040404,0521e5fa7ed96003,0110010001100001011101000110000100000100000001000000010000000100,0000010100100001111001011111101001111110110110010110000000000011
better,6265747465720202,4521f79a6d0c3217,0110001001100101011101000111010001100101011100100000001000000010,0100010100100001111101111001101001101101000011000011001000010111
decide,6465636964650202,0831fcea676c7c37,0110010001100101011000110110100101100100011001010000001000000010,0000100000110001111111001110101001100111011011000111110000110111
nation,6e6174696f6e0202,4471e4fa3f2c6067,0110111001100001011101000110100101101111011011100000001000000010,0100010001110001111001001111101000111111001011000110000001100111
hard,6861726404040404,0121a1fa7bd96003,0110100001100001011100100110010000000100000001000000010000000100,0000000100100001101000011111101001111011110110010110000000000011
though,74686f7567680202,8d717afaf07cee37,0111010001101000011011110111010101100111011010000000001000000010,1000110101110001011110101111101011110000011111001110111000110111
shop,73686f7004040404,cd213afab1d9af03,0111001101101000011011110111000000000100000001000000010000000100,1100110100100001001110101111101010110001110110011010111100000011
aid,6169640505050505,4f35eeaf648c7817,0110000101101001011001000000010100000101000001010000010100000101,0100111100110101111011101010111101100100100011000111100000010111
brave,6272617665030303,5820ceaf54080a12,0110001001110010011000010111011001100101000000110000001100000011,0101100000100000110011101010111101010100000010000000101000010010
detect,6465746563740202,0561f49a6e1c7047,0110010001100101011101000110010101100011011101000000001000000010,0000010101100001111101001001101001101110000111000111000001000111
block,626c6f636b030303,4d20f8ef63482c52,0110001001101100011011110110001101101011000000110000001100000011,0100110100100000111110001110111101100011010010000010110001010010
angle,616e676c65030303,4820ecaf62086d12,0110000101101110011001110110110001100101000000110000001100000011,0100100000100000111011001010111101100010000010000110110100010010
capture,6361707475726501,412da31e3d8c2216,0110001101100001011100000111010001110101011100100110010100000001,0100000100101101101000110001111000111101100011000010001000010110
whether,7768657468657201,c9797be2b12cae36,0111011101101000011001010111010001101000011001010111001000000001,1100100101111001011110111110001010110001001011001010111000110110
lot,6c6f740505050505,5735b6af3c8c7017,0110110001101111011101000000010100000101000001010000010100000101,0101011100110101101101101010111100111100100011000111000000010111
drag,6472616704040404,1921cdfa57d94903,0110010001110010011000010110011100000100000001000000010000000100,0001100100100001110011011111101001010111110110010100100100000011
pulled,70756c6c65640202,8c2118ba823c9927,0111000001110101011011000110110001100101011001000000001000000010,1000110000100001000110001011101010000010001111001001100100100111
saw,7361770505050505,c33526afb88ca417,0111001101100001011101110000010100000101000001010000010100000101,1100001100110101001001101010111110111000100011001010010000010111
clothes,636c6f7468657301,4d79bbe621282e32,0110001101101100011011110111010001101000011001010111001100000001,0100110101111001101110111110011000100001001010000010111000110010
draw,6472617704040404,1921cffa55d94b03,0110010001110010011000010111011100000100000001000000010000000100,0001100100100001110011111111101001010101110110010100101100000011
coach,636f616368030303,5960bcef37083812,0110001101101111011000010110001101101000000000110000001100000011,0101100101100000101111001110111100110111000010000011100000010010
should,73686f756c640202,cd613abab07cae67,0111001101101000011011110111010101101100011001000000001000000010,1100110101100001001110101011101010110000011111001010111001100111
budget,6275646765740202,4d21dd9a471c1907,0110001001110101011001000110011101100101011101000000001000000010,0100110100100001110111011001101001000111000111000001100100000111
