word,plaintext_hex,ciphertext_hex,plaintext_bits,ciphertext_bits
claim,636c61696d030303,4a0ed5ab1407f227,0110001101101100011000010110100101101101000000110000001100000011,0100101000001110110101011010101100010100000001111111001000100111
couch,636f756368030303,6e3fe16cac764e4c,0110001101101111011101010110001101101000000000110000001100000011,0110111000111111111000010110110010101100011101100100111001001100
out,6f75740505050505,4fa290b2dd1d6d02,0110111101110101011101000000010100000101000001010000010100000101,0100111110100010100100001011001011011101000111010110110100000010
coal,636f616c04040404,951fee065b8f21c9,0110001101101111011000010110110000000100000001000000010000000100,1001010100011111111011100000011001011011100011110010000111001001
rolled,726f6c6c65640202,be95e426376c8c1f,0111001001101111011011000110110001100101011001000000001000000010,1011111010010101111001000010011000110111011011001000110000011111
crew,6372657704040404,bef1f663c9e1cef0,0110001101110010011001010111011100000100000001000000010000000100,1011111011110001111101100110001111001001111000011100111011110000
effect,6566666563740202,2f80102d2998182f,0110010101100110011001100110010101100011011101000000001000000010,0010111110000000000100000010110100101001100110000001100000101111
however,686f776576657201,918b20d681d3fc0c,0110100001101111011101110110010101110110011001010111001000000001,1001000110001011001000001101011010000001110100111111110000001100
a,6107070707070707,6d3c51d5f5fbbc7d,0110000100000111000001110000011100000111000001110000011100000111,0110110100111100010100011101010111110101111110111011110001111101
love,6c6f766504040404,33294a1931ffc494,0110110001101111011101100110010100000100000001000000010000000100,0011001100101001010010100001100100110001111111111100010010010100
toward,746f776172640202,b0e1a524958dc967,0111010001101111011101110110000101110010011001000000001000000010,1011000011100001101001010010010010010101100011011100100101100111
killed,6b696c6c65640202,19fab700f86cc219,0110101101101001011011000110110001100101011001000000001000000010,0001100111111010101101110000000011111000011011001100001000011001
blind,626c696e64030303,ecaf9c4ba7d28919,0110001001101100011010010110111001100100000000110000001100000011,1110110010101111100111000100101110100111110100101000100100011001
would,776f756c64030303,a970b1eca0ded339,0111011101101111011101010110110001100100000000110000001100000011,1010100101110000101100011110110010100000110111101101001100111001
became,626563616d650202,0e80feebab5b8d3e,0110001001100101011000110110000101101101011001010000001000000010,0000111010000000111111101110101110101011010110111000110100111110
canvas,63616e7661730202,916708227ecdef4a,0110001101100001011011100111011001100001011100110000001000000010,1001000101100111000010000010001001111110110011011110111101001010
arrange,617272616e676501,49ce91bbea4847cb,0110000101110010011100100110000101101110011001110110010100000001,0100100111001110100100011011101111101010010010000100011111001011
still,7374696c6c030303,350f4437662e3225,0111001101110100011010010110110001101100000000110000001100000011,0011010100001111010001000011011101100110001011100011001000100101
steel,737465656c030303,ebfe678e31cdb9c7,0111001101110100011001010110010101101100000000110000001100000011,1110101111111110011001111000111000110001110011011011100111000111
week,7765656b04040404,fadde66943d88346,0111011101100101011001010110101100000100000001000000010000000100,1111101011011101111001100110100101000011110110001000001101000110
while,7768696c65030303,2115698acb9b5163,0111011101101000011010010110110001100101000000110000001100000011,0010000100010101011010011000101011001011100110110101000101100011
set,7365740505050505,a046a24610f0dcbd,0111001101100101011101000000010100000101000001010000010100000101,1010000001000110101000100100011000010000111100001101110010111101
each,6561636804040404,51791e2a32232cb3,0110010101100001011000110110100000000100000001000000010000000100,0101000101111001000111100010101000110010001000110010110010110011
never,6e65766572030303,475d03a870ccf7c2,0110111001100101011101100110010101110010000000110000001100000011,0100011101011101000000111010100001110000110011001111011111000010
band,62616e6404040404,234e910554a00892,0110001001100001011011100110010000000100000001000000010000000100,0010001101001110100100010000010101010100101000000000100010010010
soil,736f696c04040404,fcabd7b7f762402b,0111001101101111011010010110110000000100000001000000010000000100,1111110010101011110101111011011111110111011000100100000000101011
jumped,6a756d7065640202,16246473b517f714,0110101001110101011011010111000001100101011001000000001000000010,0001011000100100011001000111001110110101000101111111011100010100
defend,646566656e640202,4813729a13fa39bd,0110010001100101011001100110010101101110011001000000001000000010,0100100000010011011100101001101000010011111110100011100110111101
term,7465726d04040404,31e3c95fe9c9c8dd,0111010001100101011100100110110100000100000001000000010000000100,0011000111100011110010010101111111101001110010011100100011011101
bomb,626f6d6204040404,9cdd5a78657d51fa,0110001001101111011011010110001000000100000001000000010000000100,1001110011011101010110100111100001100101011111010101000111111010
hours,686f757273030303,707951e0fda0a801,0110100001101111011101010111001001110011000000110000001100000011,0111000001111001010100011110000011111101101000001010100000000001
beach,6265616368030303,204b05bae0ab9c29,0110001001100101011000010110001101101000000000110000001100000011,0010000001001011000001011011101011100000101010111001110000101001
health,6865616c74680202,e6038882f5b4ab75,0110100001100101011000010110110001110100011010000000001000000010,1110011000000011100010001000001011110101101101001010101101110101
isolate,69736f6c61746501,165d6b10d580a0a6,0110100101110011011011110110110001100001011101000110010100000001,0001011001011101011010110001000011010101100000001010000010100110
deliver,64656c6976657201,59ad824b8608332f,0110010001100101011011000110100101110110011001010111001000000001,0101100110101101100000100100101110000110000010000011001100101111
speak,737065616b030303,b2161f7662fce5ae,0111001101110000011001010110000101101011000000110000001100000011,1011001000010110000111110111011001100010111111001110010110101110
head,6865616404040404,6b16d1f8723dcbee,0110100001100101011000010110010000000100000001000000010000000100,0110101100010110110100011111100001110010001111011100101111101110
pattern,7061747465726e01,b1c3581a14a53274,0111000001100001011101000111010001100101011100100110111000000001,1011000111000011010110000001101000010100101001010011001001110100
down,646f776e04040404,4c00c77ea0b227f2,0110010001101111011101110110111000000100000001000000010000000100,0100110000000000110001110111111010100000101100100010011111110010
or,6f72060606060606,ae970c13438397e2,0110111101110010000001100000011000000110000001100000011000000110,1010111010010111000011000001001101000011100000111001011111100010
four,666f757204040404,1d1ea1896c32a7ff,0110011001101111011101010111001000000100000001000000010000000100,0001110100011110101000011000100101101100001100101010011111111111
enemy,656e656d79030303,58314ca06780898f,0110010101101110011001010110110101111001000000110000001100000011,0101100000110001010011001010000001100111100000001000100110001111
chest,6368657374030303,041bcd9dc5571355,0110001101101000011001010111001101110100000000110000001100000011,0000010000011011110011011001110111000101010101110001001101010101
cook,636f6f6b04040404,1f25e38341f4ddea,0110001101101111011011110110101100000100000001000000010000000100,0001111100100101111000111000001101000001111101001101110111101010
quiet,7175696574030303,5494523d57bc183a,0111000101110101011010010110010101110100000000110000001100000011,0101010010010100010100100011110101010111101111000001100000111010
iron,69726f6e04040404,96af16333d9bd3a0,0110100101110010011011110110111000000100000001000000010000000100,1001011010101111000101100011001100111101100110111101001110100000
year,7965617204040404,f93b3e2f5d6e9e59,0111100101100101011000010111001000000100000001000000010000000100,1111100100111011001111100010111101011101011011101001111001011001
card,6361726404040404,84dac1e5d7e6c60d,0110001101100001011100100110010000000100000001000000010000000100,1000010011011010110000011110010111010111111001101100011000001101
them,7468656d04040404,affca8c6e58253b5,0111010001101000011001010110110100000100000001000000010000000100,1010111111111100101010001100011011100101100000100101001110110101
valley,76616c6c65790202,ba36f440c1a9600f,0111011001100001011011000110110001100101011110010000001000000010,1011101000110110111101000100000011000001101010010110000000001111
dilemma,64696c656d6d6101,36ee120048b32637,0110010001101001011011000110010101101101011011010110000100000001,0011011011101110000100100000000001001000101100110010011000110111
said,7361696404040404,5e58afa5f6e7c678,0111001101100001011010010110010000000100000001000000010000000100,0101111001011000101011111010010111110110111001111100011001111000
handle,68616e646c650202,f6ac4b01ae7f17b7,0110100001100001011011100110010001101100011001010000001000000010,1111011010101100010010110000000110101110011111110001011110110111
root,726f6f7404040404,86af850b2507f7fe,0111001001101111011011110111010000000100000001000000010000000100,1000011010101111100001010000101100100101000001111111011111111110
counsel,636f756e73656c01,f919e6ec0ef1b444,0110001101101111011101010110111001110011011001010110110000000001,1111100100011001111001101110110000001110111100011011010001000100
college,636f6c6c65676501,0a064275e969fe09,0110001101101111011011000110110001100101011001110110010100000001,0000101000000110010000100111010111101001011010011111111000001001
map,6d61700505050505,3e072fe7afaafeb6,0110110101100001011100000000010100000101000001010000010100000101,0011111000000111001011111110011110101111101010101111111010110110
force,666f726365030303,cdb82f262ac98e0a,0110011001101111011100100110001101100101000000110000001100000011,1100110110111000001011110010011000101010110010011000111000001010
truck,747275636b030303,a767518bd18ebba1,0111010001110010011101010110001101101011000000110000001100000011,1010011101100111010100011000101111010001100011101011101110100001
shoe,73686f6504040404,6c7103a577a80307,0111001101101000011011110110010100000100000001000000010000000100,0110110001110001000000111010010101110111101010000000001100000111
oxygen,6f787967656e0202,0264644fb502b8aa,0110111101111000011110010110011101100101011011100000001000000010,0000001001100100011001000100111110110101000000101011100010101010
moon,6d6f6f6e04040404,0d6428a37a55fb92,0110110101101111011011110110111000000100000001000000010000000100,0000110101100100001010001010001101111010010101011111101110010010
turn,7475726e04040404,68758533493f2629,0111010001110101011100100110111000000100000001000000010000000100,0110100001110101100001010011001101001001001111110010011000101001
on,6f6e060606060606,fea82632342c82f6,0110111101101110000001100000011000000110000001100000011000000110,1111111010101000001001100011001000110100001011001000001011110110
