word,plaintext_hex,ciphertext_hex,plaintext_bits,ciphertext_bits
claim,636c61696d030303,c15035c2c3a599ee,0110001101101100011000010110100101101101000000110000001100000011,1100000101010000001101011100001011000011101001011001100111101110
couch,636f756368030303,c15acccdc8a599ee,0110001101101111011101010110001101101000000000110000001100000011,1100000101011010110011001100110111001000101001011001100111101110
out,6f75740505050505,cba7ce2fe1a997ef,0110111101110101011101000000010100000101000001010000010100000101,1100101110100111110011100010111111100001101010011001011111101111
coal,636f616c04040404,c15a35c3e2a29cec,0110001101101111011000010110110000000100000001000000010000000100,1100000101011010001101011100001111100010101000101001110011101100
rolled,726f6c6c65640202,e25a3dc3c1f29ded,0111001001101111011011000110110001100101011001000000001000000010,1110001001011010001111011100001111000001111100101001110111101101
crew,6372657704040404,c1a83c3ee2a29cec,0110001101110010011001010111011100000100000001000000010000000100,1100000110101000001111000011111011100010101000101001110011101100
effect,6566666563740202,c05c3bcfcd629ded,0110010101100110011001100110010101100011011101000000001000000010,1100000001011100001110111100111111001101011000101001110111101101
however,686f776576657201,c45ac0cf4ef97dea,0110100001101111011101110110010101110110011001010111001000000001,1100010001011010110000001100111101001110111110010111110111101010
a,6107070707070707,cd03602eecac91e1,0110000100000111000001110000011100000111000001110000011100000111,1100110100000011011000000010111011101100101011001001000111100001
love,6c6f766504040404,c55acbcfe2a29cec,0110110001101111011101100110010100000100000001000000010000000100,1100010101011010110010111100111111100010101000101001110011101100
toward,746f776172640202,e35ac0c544f29ded,0111010001101111011101110110000101110010011001000000001000000010,1110001101011010110000001100010101000100111100101001110111101101
killed,6b696c6c65640202,cf5d3dc3c1f29ded,0110101101101001011011000110110001100101011001000000001000000010,1100111101011101001111011100001111000001111100101001110111101101
blind,626c696e64030303,c25036c4c2a599ee,0110001001101100011010010110111001100100000000110000001100000011,1100001001010000001101101100010011000010101001011001100111101110
would,776f756c64030303,e65accc3c2a599ee,0111011101101111011101010110110001100100000000110000001100000011,1110011001011010110011001100001111000010101001011001100111101110
became,626563616d650202,c25732c5c3f99ded,0110001001100101011000110110000101101101011001010000001000000010,1100001001010111001100101100010111000011111110011001110111101101
canvas,63616e7661730202,c156343cc9659ded,0110001101100001011011100111011001100001011100110000001000000010,1100000101010110001101000011110011001001011001011001110111101101
arrange,617272616e676501,cda8c3c5cbfc57ea,0110000101110010011100100110000101101110011001110110010100000001,1100110110101000110000111100010111001011111111000101011111101010
still,7374696c6c030303,e1ae36c3cfa599ee,0111001101110100011010010110110001101100000000110000001100000011,1110000110101110001101101100001111001111101001011001100111101110
