word,plaintext_hex,ciphertext_hex,plaintext_bits,ciphertext_bits
claim,636c61696d030303,c965e5df11a183ce,0110001101101100011000010110100101101101000000110000001100000011,1100100101100101111001011101111100010001101000011000001111001110
couch,636f756368030303,c96bfcdc10a183ce,0110001101101111011101010110001101101000000000110000001100000011,1100100101101011111111001101110000010000101000011000001111001110
out,6f75740505050505,c3f1fea273af86cf,0110111101110101011101000000010100000101000001010000010100000101,1100001111110001111111101010001001110011101011111000011011001111
coal,636f616c04040404,c96be5d97da084cc,0110001101101111011000010110110000000100000001000000010000000100,1100100101101011111001011101100101111101101000001000010011001100
rolled,726f6c6c65640202,e76bedd913f08fcd,0111001001101111011011000110110001100101011001000000001000000010,1110011101101011111011011101100100010011111100001000111111001101
crew,6372657704040404,c9f3ec167da084cc,0110001101110010011001010111011100000100000001000000010000000100,1100100111110011111011000001011001111101101000001000010011001100
effect,6566666563740202,cd64ebd212608fcd,0110010101100110011001100110010101100011011101000000001000000010,1100110101100100111010111101001000010010011000001000111111001101
however,686f776576657201,ce6bf0d22cff2fca,0110100001101111011101110110010101110110011001010111001000000001,1100111001101011111100001101001000101100111111110010111111001010
a,6107070707070707,c0c850a67eab8bc1,0110000100000111000001110000011100000111000001110000011100000111,1100000011001000010100001010011001111110101010111000101111000001
love,6c6f766504040404,c66bfbd27da084cc,0110110001101111011101100110010100000100000001000000010000000100,1100011001101011111110111101001001111101101000001000010011001100
toward,746f776172640202,eb6bf0d72ff08fcd,0111010001101111011101110110000101110010011001000000001000000010,1110101101101011111100001101011100101111111100001000111111001101
killed,6b696c6c65640202,cc66edd913f08fcd,0110101101101001011011000110110001100101011001000000001000000010,1100110001100110111011011101100100010011111100001000111111001101
blind,626c696e64030303,c765e6d81da183ce,0110001001101100011010010110111001100100000000110000001100000011,1100011101100101111001101101100000011101101000011000001111001110
would,776f756c64030303,e56bfcd91da183ce,0111011101101111011101010110110001100100000000110000001100000011,1110010101101011111111001101100100011101101000011000001111001110
became,626563616d650202,c761e2d711ff8fcd,0110001001100101011000110110000101101101011001010000001000000010,1100011101100001111000101101011100010001111111111000111111001101
canvas,63616e7661730202,c96de41d1b618fcd,0110001101100001011011100111011001100001011100110000001000000010,1100100101101101111001000001110100011011011000011000111111001101
arrange,617272616e676501,c0f3f3d719fbe6ca,0110000101110010011100100110000101101110011001110110010100000001,1100000011110011111100111101011100011001111110111110011011001010
still,7374696c6c030303,e9ffe6d914a183ce,0111001101110100011010010110110001101100000000110000001100000011,1110100111111111111001101101100100010100101000011000001111001110
steel,737465656c030303,e9ffecd214a183ce,0111001101110100011001010110010101101100000000110000001100000011,1110100111111111111011001101001000010100101000011000001111001110
week,7765656b04040404,e561ecd57da084cc,0111011101100101011001010110101100000100000001000000010000000100,1110010101100001111011001101010101111101101000001000010011001100
while,7768696c65030303,e567e6d913a183ce,0111011101101000011010010110110001100101000000110000001100000011,1110010101100111111001101101100100010011101000011000001111001110
set,7365740505050505,e961fea273af86cf,0111001101100101011101000000010100000101000001010000010100000101,1110100101100001111111101010001001110011101011111000011011001111
each,6561636804040404,cd6de2d07da084cc,0110010101100001011000110110100000000100000001000000010000000100,1100110101101101111000101101000001111101101000001000010011001100
never,6e65766572030303,c161fbd22fa183ce,0110111001100101011101100110010101110010000000110000001100000011,1100000101100001111110111101001000101111101000011000001111001110
band,62616e6404040404,c76de4db7da084cc,0110001001100001011011100110010000000100000001000000010000000100,1100011101101101111001001101101101111101101000001000010011001100
soil,736f696c04040404,e96be6d97da084cc,0111001101101111011010010110110000000100000001000000010000000100,1110100101101011111001101101100101111101101000001000010011001100
jumped,6a756d7065640202,c8f1e11313f08fcd,0110101001110101011011010111000001100101011001000000001000000010,1100100011110001111000010001001100010011111100001000111111001101
defend,646566656e640202,cb61ebd219f08fcd,0110010001100101011001100110010101101110011001000000001000000010,1100101101100001111010111101001000011001111100001000111111001101
term,7465726d04040404,eb61f3de7da084cc,0111010001100101011100100110110100000100000001000000010000000100,1110101101100001111100111101111001111101101000001000010011001100
bomb,626f6d6204040404,c76be1da7da084cc,0110001001101111011011010110001000000100000001000000010000000100,1100011101101011111000011101101001111101101000001000010011001100
hours,686f757273030303,ce6bfc1a22a183ce,0110100001101111011101010111001001110011000000110000001100000011,1100111001101011111111000001101000100010101000011000001111001110
beach,6265616368030303,c761e5dc10a183ce,0110001001100101011000010110001101101000000000110000001100000011,1100011101100001111001011101110000010000101000011000001111001110
health,6865616c74680202,ce61e5d92dfc8fcd,0110100001100101011000010110110001110100011010000000001000000010,1100111001100001111001011101100100101101111111001000111111001101
isolate,69736f6c61746501,cafaead91b60e6ca,0110100101110011011011110110110001100001011101000110010100000001,1100101011111010111010101101100100011011011000001110011011001010
deliver,64656c6976657201,cb61eddf2cff2fca,0110010001100101011011000110100101110110011001010111001000000001,1100101101100001111011011101111100101100111111110010111111001010
speak,737065616b030303,e9fcecd71aa183ce,0111001101110000011001010110000101101011000000110000001100000011,1110100111111100111011001101011100011010101000011000001111001110
head,6865616404040404,ce61e5db7da084cc,0110100001100101011000010110010000000100000001000000010000000100,1100111001100001111001011101101101111101101000001000010011001100
pattern,7061747465726e01,ef6dfe1b1366ecca,0111000001100001011101000111010001100101011100100110111000000001,1110111101101101111111100001101100010011011001101110110011001010
down,646f776e04040404,cb6bf0d87da084cc,0110010001101111011101110110111000000100000001000000010000000100,1100101101101011111100001101100001111101101000001000010011001100
or,6f72060606060606,c3f35bad7caa85c0,0110111101110010000001100000011000000110000001100000011000000110,1100001111110011010110111010110101111100101010101000010111000000
four,666f757204040404,c26bfc1a7da084cc,0110011001101111011101010111001000000100000001000000010000000100,1100001001101011111111000001101001111101101000001000010011001100
enemy,656e656d79030303,cd69ecde28a183ce,0110010101101110011001010110110101111001000000110000001100000011,1100110101101001111011001101111000101000101000011000001111001110
chest,6368657374030303,c967ec1c2da183ce,0110001101101000011001010111001101110100000000110000001100000011,1100100101100111111011000001110000101101101000011000001111001110
cook,636f6f6b04040404,c96bead57da084cc,0110001101101111011011110110101100000100000001000000010000000100,1100100101101011111010101101010101111101101000001000010011001100
quiet,7175696574030303,e0f1e6d22da183ce,0111000101110101011010010110010101110100000000110000001100000011,1110000011110001111001101101001000101101101000011000001111001110
iron,69726f6e04040404,caf3ead87da084cc,0110100101110010011011110110111000000100000001000000010000000100,1100101011110011111010101101100001111101101000001000010011001100
year,7965617204040404,ea61e51a7da084cc,0111100101100101011000010111001000000100000001000000010000000100,1110101001100001111001010001101001111101101000001000010011001100
card,6361726404040404,c96df3db7da084cc,0110001101100001011100100110010000000100000001000000010000000100,1100100101101101111100111101101101111101101000001000010011001100
them,7468656d04040404,eb67ecde7da084cc,0111010001101000011001010110110100000100000001000000010000000100,1110101101100111111011001101111001111101101000001000010011001100
valley,76616c6c65790202,e26dedd9136e8fcd,0111011001100001011011000110110001100101011110010000001000000010,1110001001101101111011011101100100010011011011101000111111001101
dilemma,64696c656d6d6101,cb66edd211f7eaca,0110010001101001011011000110010101101101011011010110000100000001,1100101101100110111011011101001000010001111101111110101011001010
said,7361696404040404,e96de6db7da084cc,0111001101100001011010010110010000000100000001000000010000000100,1110100101101101111001101101101101111101101000001000010011001100
handle,68616e646c650202,ce6de4db14ff8fcd,0110100001100001011011100110010001101100011001010000001000000010,1100111001101101111001001101101100010100111111111000111111001101
root,726f6f7404040404,e76bea1b7da084cc,0111001001101111011011110111010000000100000001000000010000000100,1110011101101011111010100001101101111101101000001000010011001100
counsel,636f756e73656c01,c96bfcd822ffe1ca,0110001101101111011101010110111001110011011001010110110000000001,1100100101101011111111001101100000100010111111111110000111001010
college,636f6c6c65676501,c96bedd913fbe6ca,0110001101101111011011000110110001100101011001110110010100000001,1100100101101011111011011101100100010011111110111110011011001010
map,6d61700505050505,c46df7a273af86cf,0110110101100001011100000000010100000101000001010000010100000101,1100010001101101111101111010001001110011101011111000011011001111
force,666f726365030303,c26bf3dc13a183ce,0110011001101111011100100110001101100101000000110000001100000011,1100001001101011111100111101110000010011101000011000001111001110
truck,747275636b030303,ebf3fcdc1aa183ce,0111010001110010011101010110001101101011000000110000001100000011,1110101111110011111111001101110000011010101000011000001111001110
shoe,73686f6504040404,e967ead27da084cc,0111001101101000011011110110010100000100000001000000010000000100,1110100101100111111010101101001001111101101000001000010011001100
oxygen,6f787967656e0202,c3f7f6d613fd8fcd,0110111101111000011110010110011101100101011011100000001000000010,1100001111110111111101101101011000010011111111011000111111001101
moon,6d6f6f6e04040404,c46bead87da084cc,0110110101101111011011110110111000000100000001000000010000000100,1100010001101011111010101101100001111101101000001000010011001100
turn,7475726e04040404,ebf1f3d87da084cc,0111010001110101011100100110111000000100000001000000010000000100,1110101111110001111100111101100001111101101000001000010011001100
on,6f6e060606060606,c3695bad7caa85c0,0110111101101110000001100000011000000110000001100000011000000110,1100001101101001010110111010110101111100101010101000010111000000
spring,737072696e670202,e9fcf3df19fb8fcd,0111001101110000011100100110100101101110011001110000001000000010,1110100111111100111100111101111100011001111110111000111111001101
silver,73696c7665720202,e966ed1d13668fcd,0111001101101001011011000111011001100101011100100000001000000010,1110100101100110111011010001110100010011011001101000111111001101
spell,7370656c6c030303,e9fcecd914a183ce,0111001101110000011001010110110001101100000000110000001100000011,1110100111111100111011001101100100010100101000011000001111001110
are,6172650505050505,c0f3eca273af86cf,0110000101110010011001010000010100000101000001010000010100000101,1100000011110011111011001010001001110011101011111000011011001111
to,746f060606060606,eb6b5bad7caa85c0,0111010001101111000001100000011000000110000001100000011000000110,1110101101101011010110111010110101111100101010101000010111000000
reason,726561736f6e0202,e761e51c16fd8fcd,0111001001100101011000010111001101101111011011100000001000000010,1110011101100001111001010001110000010110111111011000111111001101
anxiety,616e786965747901,c069ffdf136022ca,0110000101101110011110000110100101100101011101000111100100000001,1100000001101001111111111101111100010011011000000010001011001010
land,6c616e6404040404,c66de4db7da084cc,0110110001100001011011100110010000000100000001000000010000000100,1100011001101101111001001101101101111101101000001000010011001100
instead,696e737465616401,ca69f21b13f5e4ca,0110100101101110011100110111010001100101011000010110010000000001,1100101001101001111100100001101100010011111101011110010011001010
present,70726573656e7401,eff3ec1c13fd24ca,0111000001110010011001010111001101100101011011100111010000000001,1110111111110011111011000001110000010011111111010010010011001010
data,6461746104040404,cb6dfed77da084cc,0110010001100001011101000110000100000100000001000000010000000100,1100101101101101111111101101011101111101101000001000010011001100
better,6265747465720202,c761fe1b13668fcd,0110001001100101011101000111010001100101011100100000001000000010,1100011101100001111111100001101100010011011001101000111111001101
decide,6465636964650202,cb61e2df1dff8fcd,0110010001100101011000110110100101100100011001010000001000000010,1100101101100001111000101101111100011101111111111000111111001101
nation,6e6174696f6e0202,c16dfedf16fd8fcd,0110111001100001011101000110100101101111011011100000001000000010,1100000101101101111111101101111100010110111111011000111111001101
hard,6861726404040404,ce6df3db7da084cc,0110100001100001011100100110010000000100000001000000010000000100,1100111001101101111100111101101101111101101000001000010011001100
though,74686f7567680202,eb67ea121efc8fcd,0111010001101000011011110111010101100111011010000000001000000010,1110101101100111111010100001001000011110111111001000111111001101
shop,73686f7004040404,e967ea137da084cc,0111001101101000011011110111000000000100000001000000010000000100,1110100101100111111010100001001101111101101000001000010011001100
aid,6169640505050505,c066eea273af86cf,0110000101101001011001000000010100000101000001010000010100000101,1100000001100110111011101010001001110011101011111000011011001111
brave,6272617665030303,c7f3e51d13a183ce,0110001001110010011000010111011001100101000000110000001100000011,1100011111110011111001010001110100010011101000011000001111001110
detect,6465746563740202,cb61fed212608fcd,0110010001100101011101000110010101100011011101000000001000000010,1100101101100001111111101101001000010010011000001000111111001101
block,626c6f636b030303,c765eadc1aa183ce,0110001001101100011011110110001101101011000000110000001100000011,1100011101100101111010101101110000011010101000011000001111001110
angle,616e676c65030303,c069e0d913a183ce,0110000101101110011001110110110001100101000000110000001100000011,1100000001101001111000001101100100010011101000011000001111001110
capture,6361707475726501,c96df71b2366e6ca,0110001101100001011100000111010001110101011100100110010100000001,1100100101101101111101110001101100100011011001101110011011001010
