word,plaintext_hex,ciphertext_hex,plaintext_bits,ciphertext_bits
0101001001100101100011110101010101000100100110111011001011001100,52658f55449bb2cc,fa23bb00b8dc0b73,0101001001100101100011110101010101000100100110111011001011001100,1111101000100011101110110000000010111000110111000000101101110011
0000101110000011001111110011011011011010001001001011001010110011,0b833f36da24b2b3,a1b32be05e6b688c,0000101110000011001111110011011011011010001001001011001010110011,1010000110110011001010111110000001011110011010110110100010001100
1111101010000000110110011011011001100100000110011110010100110011,fa80d9b66419e533,5f063d075653585c,1111101010000000110110011011011001100100000110011110010100110011,0101111100000110001111010000011101010110010100110101100001011100
1011010110110101000101111111011100111001000101000010010000101000,b5b517f739142428,135ac3d662520987,1011010110110101000101111111011100111001000101000010010000101000,0001001101011010110000111101011001100010010100100000100110000111
0100011011001100010101000101111011010011111110011010011110001111,46cc545ed3f9a78f,e7b2f07518b89050,0100011011001100010101000101111011010011111110011010011110001111,1110011110110010111100000111010100011000101110001001000001010000
0001011101011011010011111011001111001000011100110110000110101101,175b4fb3c87361ad,b6aeebc3863aedf2,0001011101011011010011111011001111001000011100110110000110101101,1011011010101110111010111100001110000110001110101110110111110010
0001110111000111001001111111111001000011100000011001100101001101,1dc727fe4381994d,b021437b12c420d2,0001110111000111001001111111111001000011100000011001100101001101,1011000000100001010000110111101100010010110001000010000011010010
1001000011000111011010010011111110000011110001101011000101011010,90c7693f83c6b15a,34e39d731e8521a5,1001000011000111011010010011111110000011110001101011000101011010,0011010011100011100111010111001100011110100001010010000110100101
1000110010100100101000110010100111001001101000100110001100001100,8ca4a329c9a2630c,28ae57d17fe017e3,1000110010100100101000110010100111001001101000100110001100001100,0010100010101110010101111101000101111111111000000001011111100011
0110011111001110010001101110100111000010111101101110110100101001,67ce46e9c2f6ed29,c6a6e26f13b2b7a6,0110011111001110010001101110100111000010111101101110110100101001,1100011010100110111000100110111100010011101100101011011110100110
0000000000010110011000111010010000010000000000000111100000100011,001663a410007823,a47f974ac7423acc,0000000000010110011000111010010000010000000000000111100000100011,1010010001111111100101110100101011000111010000100011101011001100
1111001010110111000100011000100101111110001011101100010111001100,f2b711897e2ec5cc,5314b5a7656c2723,1111001010110111000100011000100101111110001011101100010111001100,0101001100010100101101011010011101100101011011000010011100100011
0101001101000001000111000011111010001110110000100000100011110100,53411c3e8ec208f4,f3e8a8aa9e8f40eb,0101001101000001000111000011111010001110110000100000100011110100,1111001111101000101010001010101010011110100011110100000011101011
