Rounds: 7
Nonlinearity: 4
Avalanche Weight: 2.0
Hidden Size: 1024
Prefix: normal
Test Loss: 0.2584060728549957
Bit-Level Accuracy: 85.55%

prediction,predicted_bits,actual_bits
"[7.240407854627707e-18, 0.7745533585548401, 1.0, 0.7849628925323486, 0.5228067636489868, 0.4472157955169678, 0.4699506461620331, 0.719688355922699, 0.9999991655349731, 0.9999990463256836, 0.09316114336252213, 0.9040829539299011, 0.1263626217842102, 0.9012961983680725, 0.7728163003921509, 0.5748251676559448, 0.3526087701320648, 3.6703052046505036e-06, 0.642266571521759, 3.737110025030463e-17, 0.3285154700279236, 0.23735682666301727, 0.696847677230835, 0.472269743680954, 7.476904283976182e-05, 0.00022999981592874974, 0.9999767541885376, 1.5981868273229338e-05, 0.9999524354934692, 0.9998307228088379, 9.273170144297183e-05, 0.9999309778213501, 2.28263653999851e-18, 1.0, 9.170102764066938e-18, 4.880365622739191e-07, 0.9999996423721313, 3.7398338008642895e-06, 4.381714461487718e-06, 1.751842319208663e-06, 4.3160024887356485e-08, 1.0, 7.428911930063009e-10, 5.742194497670994e-10, 0.9999994039535522, 0.9999998807907104, 4.049516277859766e-08, 2.698486605368089e-05, 1.0, 1.0, 1.0, 2.7247259894325277e-17, 2.022002445301041e-05, 0.9999806880950928, 0.9999996423721313, 1.0, 1.0, 1.0, 1.2064688637926005e-16, 1.0, 1.2960848039256234e-07, 4.365674488582272e-10, 4.747964339912869e-05, 1.5594887372571975e-06]",0111100111010111001000100010110101001000010011001110011111010000,0111011111010110100010100010110101001000010011001110011111010000
"[5.016997491817492e-14, 0.21800366044044495, 1.0, 0.20505660772323608, 0.2167280614376068, 0.9167322516441345, 0.9024229645729065, 0.41966328024864197, 1.0, 1.0, 0.21526454389095306, 0.7855481505393982, 0.7542287707328796, 0.2373063862323761, 0.718646228313446, 0.8342074155807495, 0.9992961883544922, 2.2635573415641375e-09, 0.0008573102531954646, 4.753115557935318e-14, 0.44832637906074524, 0.8702993392944336, 0.35967832803726196, 0.9025694727897644, 0.0673922747373581, 0.9172132015228271, 1.5216984616817086e-10, 1.0, 0.2280135154724121, 0.16290676593780518, 0.3459979295730591, 0.69775390625, 0.9999743700027466, 1.0, 0.9999713897705078, 5.049517767474754e-06, 0.9766985774040222, 0.1403481513261795, 0.5731539726257324, 0.28361451625823975, 1.2672709992500586e-08, 1.0, 4.512237694598298e-09, 2.5342710152642667e-09, 1.0, 1.0, 0.9999998807907104, 2.9633533813466784e-06, 1.0, 1.0, 1.0, 1.0776414618518873e-13, 1.0, 6.189437851134016e-10, 1.87640438298331e-07, 9.312707334174775e-07, 1.0, 1.0, 7.62399176993181e-14, 1.0, 1.1477868655518364e-09, 0.9999998807907104, 2.533297219997621e-06, 8.165321752073851e-10]",0010011011011011100001010101000111101010010011101110100011010100,0111100111011111100011110101001111101010010011101110100011010100
"[6.5246135818597395e-06, 0.6980083584785461, 0.9999922513961792, 0.6745039820671082, 0.530714750289917, 0.5718591213226318, 0.5515674352645874, 0.5760540962219238, 0.9999819993972778, 0.9999810457229614, 0.185617595911026, 0.8167125582695007, 0.34600400924682617, 0.7951523661613464, 0.4646686315536499, 0.5784262418746948, 0.8415905833244324, 3.12080119329039e-05, 0.16684624552726746, 7.3841747507685795e-06, 0.568282961845398, 0.5152398347854614, 0.3902636468410492, 0.48048925399780273, 0.3794889450073242, 0.6061599254608154, 0.0002658067096490413, 0.9997571110725403, 0.6930689215660095, 0.6648744940757751, 0.28976917266845703, 0.4565770924091339, 0.00012021165457554162, 0.9999927282333374, 0.00011656979040708393, 1.96384935406968e-05, 0.9999606609344482, 0.9995555281639099, 0.9995368719100952, 0.00010464720253366977, 1.6909445548662916e-05, 0.9999910593032837, 9.774669706530403e-06, 1.1071786502725445e-05, 0.9999792575836182, 0.9999817609786987, 3.188697519362904e-05, 0.9996986389160156, 0.9999871253967285, 0.9999878406524658, 0.9999867677688599, 7.144754818000365e-06, 0.9996962547302246, 0.00030379369854927063, 0.9999666213989258, 0.9999591112136841, 0.9999932050704956, 0.9999933242797852, 6.9107381932553835e-06, 0.9999920129776001, 2.3004138711257838e-05, 2.2810480004409328e-05, 0.9997230172157288, 2.4488865165039897e-05]",0111111111010101100011000101110001001110010011011110101111010010,0111011111010110100000011001100001001110010011011110101111010010
"[2.7464936588569334e-14, 0.9670531749725342, 1.0, 0.9661730527877808, 0.15708491206169128, 0.7124073505401611, 0.6781718730926514, 0.3222813904285431, 1.0, 1.0, 0.019434072077274323, 0.9796469211578369, 0.3126241862773895, 0.8930583596229553, 0.69601970911026, 0.3225739300251007, 0.9142215251922607, 4.76976236285509e-10, 0.0851297527551651, 2.482016938439198e-14, 0.8216862678527832, 0.5251765251159668, 0.2052539587020874, 0.6160200238227844, 0.18908683955669403, 0.8118784427642822, 1.054174386672102e-10, 1.0, 0.45981982350349426, 0.48055678606033325, 0.4225477874279022, 0.5379037857055664, 0.9993966817855835, 1.0, 0.9995070695877075, 0.00040976546006277204, 0.31203392148017883, 0.7367679476737976, 0.5836367011070251, 0.3045428395271301, 0.8605693578720093, 1.0, 1.0, 0.11262239515781403, 0.38748490810394287, 0.8521463871002197, 0.576529324054718, 0.21547098457813263, 0.03350897878408432, 0.03486346825957298, 5.52747292381639e-10, 2.5385026857795666e-14, 0.3385019600391388, 0.3953609764575958, 0.859008252620697, 0.9795383810997009, 1.0, 1.0, 4.78632128234676e-14, 1.0, 3.518050739614864e-09, 1.0, 1.0, 2.025312362263776e-09]",0111011011010110100011010101000111100110111001100000001111010110,0111000011010000100011111001111111100110111001100000110111010110
"[3.257166980574766e-09, 0.67551589012146, 1.0, 0.6426766514778137, 0.5493212342262268, 0.6505609750747681, 0.6265726089477539, 0.5604029297828674, 1.0, 1.0, 0.08879967033863068, 0.9104619026184082, 0.30567604303359985, 0.858276903629303, 0.4756383001804352, 0.5796653628349304, 0.9849745035171509, 7.052339157098686e-08, 0.01660139672458172, 3.9632217507801215e-09, 0.6236904859542847, 0.6114791035652161, 0.29921799898147583, 0.45812392234802246, 0.2667846977710724, 0.7231774926185608, 8.250113978647278e-07, 0.9999992847442627, 0.6796169877052307, 0.6517033576965332, 0.23344609141349792, 0.4523189663887024, 1.534659759272472e-06, 1.0, 1.464336492063012e-06, 3.264165115979267e-08, 0.9999998807907104, 0.9999920129776001, 0.999992847442627, 6.649269153058412e-07, 2.4899240003151135e-08, 1.0, 8.816857466342753e-09, 1.2837091389883426e-08, 1.0, 1.0, 4.234586867823964e-07, 0.999995231628418, 1.0, 1.0, 1.0, 3.6634097977383817e-09, 0.9999988079071045, 1.0833331316462136e-06, 0.9999995231628418, 0.9999996423721313, 1.0, 1.0, 3.5030121026125016e-09, 1.0, 2.905280460652193e-08, 2.892533643716888e-07, 0.9999934434890747, 2.6665235353107164e-08]",0111111111010101100011000101110001001110010011011110101111010010,0010100111011100100000100101110101001110010011011110101111010010
"[1.1728300250979373e-06, 0.8350174427032471, 0.9999984502792358, 0.8379917144775391, 0.310082346200943, 0.5742723941802979, 0.5452922582626343, 0.4421369731426239, 0.9999783039093018, 0.9999827146530151, 0.2039923220872879, 0.7933763861656189, 0.3778887391090393, 0.7191604971885681, 0.5410149097442627, 0.5211040377616882, 0.6222245097160339, 0.00012239684292580932, 0.3782343864440918, 1.0016079841079772e-06, 0.6120184063911438, 0.3977142870426178, 0.4073341190814972, 0.6257590651512146, 0.37694019079208374, 0.6302705407142639, 5.305675949784927e-05, 0.9999397993087769, 0.5463988780975342, 0.5567057132720947, 0.4041530191898346, 0.5017253160476685, 0.9411624073982239, 0.9999986886978149, 0.9431615471839905, 0.07609078288078308, 0.37346139550209045, 0.6235092282295227, 0.5233592987060547, 0.3982616066932678, 0.7278661727905273, 0.9999986886978149, 0.999923586845398, 0.2713984251022339, 0.4149530529975891, 0.708346426486969, 0.47664517164230347, 0.39509984850883484, 0.061281945556402206, 0.05944521352648735, 4.571313547785394e-05, 1.0973047892548493e-06, 0.35857680439949036, 0.6362890005111694, 0.7409185171127319, 0.8230569362640381, 0.999998927116394, 0.999998927116394, 1.4443933196162106e-06, 0.9999990463256836, 0.00015103718033060431, 0.9998520612716675, 0.9999488592147827, 0.00012261973461136222]",0111011011010111100010010101110111100110111001000000011111010110,0111101111100111001000101001100011100110111011010000011111010110
"[1.4899853316520669e-21, 0.8151015639305115, 1.0, 0.8258979320526123, 0.5357295274734497, 0.43370121717453003, 0.4578251838684082, 0.7602037191390991, 1.0, 1.0, 0.05750894919037819, 0.9403337240219116, 0.09162400662899017, 0.9361880421638489, 0.8144913911819458, 0.5742029547691345, 0.32830753922462463, 2.520433213248907e-07, 0.666320264339447, 1.0920658166775281e-20, 0.29863840341567993, 0.2008034586906433, 0.7295363545417786, 0.4552556872367859, 9.289721674576867e-06, 3.9409838791470975e-05, 0.9999977350234985, 1.4549904108207556e-06, 0.9999942779541016, 0.9999734163284302, 1.2836873793276027e-05, 0.9999915361404419, 3.476497639970005e-22, 1.0, 1.8818447792873744e-21, 1.977265462471678e-08, 1.0, 2.5451311103097396e-07, 3.0689514574078203e-07, 9.972535508495639e-08, 1.0874368072677498e-09, 1.0, 7.616035406499133e-12, 5.6982530673155285e-12, 1.0, 1.0, 1.0039054032517924e-09, 2.8961435418750625e-06, 1.0, 1.0, 1.0, 7.51450369548594e-21, 1.9476042325550225e-06, 0.9999980926513672, 1.0, 1.0, 1.0, 1.0, 4.588517876260829e-20, 1.0, 4.186643032255688e-09, 3.909198485751997e-12, 5.563314516621176e-06, 8.682072660803897e-08]",0111100111010111001000100010110101001000010011001110011111010000,0111101011010110001000100010110101001000010011001110011111010000
"[1.3389641253525042e-06, 0.6605875492095947, 0.9999984502792358, 0.6346321105957031, 0.5299583077430725, 0.5991505980491638, 0.5820058584213257, 0.5527790188789368, 0.9999949932098389, 0.9999947547912598, 0.16610309481620789, 0.8331021666526794, 0.34179750084877014, 0.7911293506622314, 0.4759271442890167, 0.5757648944854736, 0.9305617213249207, 1.0329597898817156e-05, 0.07518387585878372, 1.5350095736721414e-06, 0.5816227793693542, 0.558321475982666, 0.36700448393821716, 0.477048397064209, 0.3463987410068512, 0.6354392766952515, 7.285100582521409e-05, 0.9999336004257202, 0.6667337417602539, 0.6377149224281311, 0.2873833477497101, 0.45608681440353394, 6.0133952501928434e-05, 0.9999984502792358, 5.84368099225685e-05, 5.578371201409027e-06, 0.9999864101409912, 0.9997630715370178, 0.999769389629364, 4.060456558363512e-05, 4.865633400186198e-06, 0.9999979734420776, 2.5013584945554612e-06, 3.071720357183949e-06, 0.9999939203262329, 0.9999945163726807, 2.166735430364497e-05, 0.9998376369476318, 0.9999960660934448, 0.9999964237213135, 0.9999957084655762, 1.460104385841987e-06, 0.9999094009399414, 8.51678050821647e-05, 0.9999769926071167, 0.9999783039093018, 0.9999985694885254, 0.9999985694885254, 1.403198098159919e-06, 0.9999983310699463, 5.968210189166712e-06, 1.6202857295866124e-05, 0.9998204112052917, 5.845050054631429e-06]",0111111111010101100011000101110001001110010011011110101111010010,0111011111010110100001101001010001001110010011011110101111010010
"[1.1188597603961625e-08, 0.34737417101860046, 1.0, 0.33637750148773193, 0.2992328703403473, 0.8035824298858643, 0.787841796875, 0.44800257682800293, 0.9999942779541016, 0.999995231628418, 0.33529409766197205, 0.6656558513641357, 0.6182014346122742, 0.3485637307167053, 0.6348525881767273, 0.7532364726066589, 0.98337721824646, 6.700571702822344e-06, 0.018932582810521126, 1.0806226136139685e-08, 0.45810800790786743, 0.7352784276008606, 0.43007826805114746, 0.8040106296539307, 0.19028815627098083, 0.7773101925849915, 1.4333361377794063e-06, 0.9999985694885254, 0.36275118589401245, 0.3057936429977417, 0.371423602104187, 0.5942848920822144, 0.9982059001922607, 1.0, 0.9980809688568115, 0.0007662686984986067, 0.8959313631057739, 0.2534307539463043, 0.5346287488937378, 0.3646995723247528, 2.09492864087224e-05, 1.0, 1.288094608753454e-05, 7.957434718264267e-06, 0.9999876022338867, 0.9999932050704956, 0.9999306201934814, 0.00039893537177704275, 0.9999969005584717, 0.9999978542327881, 0.9999850988388062, 1.7207341329594783e-08, 0.9999973773956299, 3.6173605622025207e-06, 9.925574704539031e-05, 0.00020138497347943485, 1.0, 1.0, 1.4678549042912437e-08, 1.0, 5.237753612163942e-06, 0.9999440908432007, 0.00042594163096509874, 4.3581849240581505e-06]",0010011011011011100001010101000111101010010011101110100011010100,0010011011011011100001101001101011101101010011101110100011010100
"[1.3780636354265852e-10, 0.9477439522743225, 1.0, 0.9342004656791687, 0.222364142537117, 0.748164176940918, 0.8049963116645813, 0.6485653519630432, 1.0, 1.0, 0.006715202238410711, 0.9930322170257568, 0.24022094905376434, 0.8785890340805054, 0.788002073764801, 0.5875058174133301, 0.9357523322105408, 1.0873543843104017e-08, 0.06449941545724869, 2.3244725588789095e-10, 0.7253538370132446, 0.4866205155849457, 0.12549924850463867, 0.38497406244277954, 0.035543784499168396, 0.9561870694160461, 6.483904968490606e-09, 1.0, 0.44525396823883057, 0.632988691329956, 0.5078023076057434, 0.5322082042694092, 0.9999854564666748, 1.0, 0.9999860525131226, 2.1435434973682277e-06, 0.7299201488494873, 0.604601263999939, 0.4117060899734497, 0.4798979163169861, 0.8237525224685669, 1.0, 1.0, 0.12711602449417114, 0.8831911683082581, 0.9190677404403687, 0.03940954431891441, 0.34215912222862244, 0.9999980926513672, 0.9999982118606567, 0.9995290040969849, 2.0493413910305236e-10, 0.999994158744812, 0.9999765157699585, 0.9999966621398926, 0.0003911814419552684, 1.0, 1.0, 2.728230419357658e-10, 1.0, 0.9996747970581055, 5.9497317124623805e-05, 1.0, 0.9995427131652832]",0111011111010111100010000101011111101100111011001110111011011011,0111011011010101100011000101001111100111011111011110111011011011
