Rounds: 6
Nonlinearity: 4
Avalanche Weight: 2.0
Hidden Size: 1024
Prefix: random_
Test Loss: 0.6861306428909302
Bit-Level Accuracy: 52.77%

prediction,predicted_bits,actual_bits
"[0.5506239533424377, 0.47349852323532104, 0.5032714009284973, 0.4808514714241028, 0.542995274066925, 0.4858723282814026, 0.497028112411499, 0.525985062122345, 0.49814373254776, 0.4423968195915222, 0.476887971162796, 0.5100821852684021, 0.4875289797782898, 0.4932625889778137, 0.5016393065452576, 0.47934049367904663, 0.44095471501350403, 0.5049551725387573, 0.4727473258972168, 0.4353264272212982, 0.4482768476009369, 0.4802377223968506, 0.5213088393211365, 0.4771234095096588, 0.5353183150291443, 0.07826340198516846, 0.5388160943984985, 0.7450305223464966, 0.5057682394981384, 0.49869462847709656, 0.5234348177909851, 0.5467157959938049, 0.505591630935669, 0.45899924635887146, 0.45528194308280945, 0.472249299287796, 0.5135292410850525, 0.4752468466758728, 0.4958569407463074, 0.5450526475906372, 0.4707581400871277, 0.48418527841567993, 0.45523351430892944, 0.5393118858337402, 0.4926772117614746, 0.5677799582481384, 0.33061569929122925, 0.47375258803367615, 0.5762284994125366, 0.5268497467041016, 0.5628761649131775, 0.5491564869880676, 0.45747533440589905, 0.5015228390693665, 0.4562472701072693, 0.5431612133979797, 0.44531765580177307, 0.477708101272583, 0.46843859553337097, 0.4739326536655426, 0.5503681302070618, 0.4677071273326874, 0.5442736148834229, 0.507928729057312]",1010100100010010010000101011101110001001000101001111010100001011,1011010001001111111111111010110000011011000011011010011111101100
"[0.522901713848114, 0.5086027383804321, 0.46612119674682617, 0.48509302735328674, 0.5200742483139038, 0.49926164746284485, 0.49599403142929077, 0.5223507881164551, 0.5075440406799316, 0.5092951655387878, 0.46345725655555725, 0.5044177770614624, 0.4606380760669708, 0.5125758647918701, 0.5380458235740662, 0.5251126885414124, 0.5155861377716064, 0.4763999879360199, 0.5506845116615295, 0.5035679340362549, 0.4578741490840912, 0.6242486834526062, 0.7858341336250305, 0.47037971019744873, 0.473052978515625, 0.41339296102523804, 0.5439446568489075, 0.5137438178062439, 0.49989643692970276, 0.47063449025154114, 0.5459314584732056, 0.5285835266113281, 0.49924755096435547, 0.4832121729850769, 0.5386022925376892, 0.4710501432418823, 0.507724940776825, 0.4791313111782074, 0.42270731925964355, 0.5679617524147034, 0.5481993556022644, 0.5345185995101929, 0.4948839843273163, 0.506588339805603, 0.5080023407936096, 0.5973235964775085, 0.4023813307285309, 0.4427066743373871, 0.4980839192867279, 0.5265858769416809, 0.5130254626274109, 0.5577387809753418, 0.5262643694877625, 0.4802643358707428, 0.49628594517707825, 0.45803385972976685, 0.4735255837440491, 0.5195288062095642, 0.5293906331062317, 0.4783310294151306, 0.5437473654747009, 0.44521602988243103, 0.48684805631637573, 0.5146341919898987]",1100100111010111101101100011001100101001110111000111100001101001,0110100101000101000110100000010111000001000000110100110000110101
"[0.4703119397163391, 0.5455150008201599, 0.4935758709907532, 0.49964451789855957, 0.48587918281555176, 0.5031953454017639, 0.5107288956642151, 0.5435738563537598, 0.5018483996391296, 0.4486982822418213, 0.4968717396259308, 0.48864802718162537, 0.5099166035652161, 0.4875509738922119, 0.4766908884048462, 0.5032710433006287, 0.4495790898799896, 0.5049278140068054, 0.5133237242698669, 0.5365018248558044, 0.4744850993156433, 0.5216401815414429, 0.47396254539489746, 0.535995602607727, 0.4407666325569153, 0.915465772151947, 0.4932308495044708, 0.40057486295700073, 0.43538644909858704, 0.49516698718070984, 0.543694794178009, 0.5047983527183533, 0.49327123165130615, 0.5214499235153198, 0.5265493988990784, 0.5390233993530273, 0.48250311613082886, 0.4614817798137665, 0.4927956461906433, 0.47869303822517395, 0.5123177170753479, 0.5501209497451782, 0.4762309491634369, 0.5507561564445496, 0.5320570468902588, 0.5082876086235046, 0.5947961807250977, 0.4358667731285095, 0.5216209888458252, 0.4904002547264099, 0.5541636347770691, 0.47398707270622253, 0.4723473787307739, 0.5516065955162048, 0.43208950757980347, 0.5160555839538574, 0.5270061492919922, 0.5380477905273438, 0.4434109628200531, 0.4932577610015869, 0.4819507896900177, 0.5418154001235962, 0.5098732113838196, 0.5162972807884216]",0100011110001001011101010100001101110000110111101010010111000111,1001101011111110000110000100001011000110000011001001010111001011
"[0.5689785480499268, 0.4842163026332855, 0.5254306793212891, 0.5398464202880859, 0.5220632553100586, 0.500882089138031, 0.526445746421814, 0.4853117763996124, 0.5137712359428406, 0.45656493306159973, 0.4775345027446747, 0.5314304232597351, 0.5013259053230286, 0.5320733785629272, 0.4778808653354645, 0.4490882456302643, 0.5152868032455444, 0.5300194621086121, 0.4842655658721924, 0.4605916440486908, 0.5003610849380493, 0.41433441638946533, 0.3292189836502075, 0.46849924325942993, 0.541418731212616, 0.13195393979549408, 0.5384969711303711, 0.6166841983795166, 0.5041075944900513, 0.4743157625198364, 0.5193808078765869, 0.5437881350517273, 0.4928271472454071, 0.4893670678138733, 0.44359108805656433, 0.48695069551467896, 0.4893976151943207, 0.475297749042511, 0.546552300453186, 0.5610381960868835, 0.43758463859558105, 0.47229546308517456, 0.43639981746673584, 0.49431660771369934, 0.48550763726234436, 0.5322893261909485, 0.4085603356361389, 0.5078656077384949, 0.5757384896278381, 0.4843735694885254, 0.5312629342079163, 0.5407171249389648, 0.4705512821674347, 0.4858010709285736, 0.4661065936088562, 0.5490623712539673, 0.4719542860984802, 0.4695877134799957, 0.47864729166030884, 0.47897636890411377, 0.5397442579269409, 0.5353919863700867, 0.562627911567688, 0.49254679679870605]",1011111010011100110010001011101100000011000001011011000100001110,1110110100011110100000100111011010010011001011001101100110010010
"[0.5996292233467102, 0.5029636025428772, 0.37706008553504944, 0.39602982997894287, 0.5784865617752075, 0.4631834626197815, 0.5226014852523804, 0.612271785736084, 0.507634699344635, 0.4177480936050415, 0.37662962079048157, 0.4668634831905365, 0.38483187556266785, 0.4863562285900116, 0.6287583708763123, 0.5785342454910278, 0.3821033239364624, 0.3892819583415985, 0.5918970704078674, 0.4302651584148407, 0.33668237924575806, 0.8134796619415283, 0.9861516356468201, 0.4658799469470978, 0.4923342764377594, 0.03638799861073494, 0.590907096862793, 0.8331087827682495, 0.5474052429199219, 0.4863494634628296, 0.5550884008407593, 0.5726305246353149, 0.5370809435844421, 0.4575045108795166, 0.6143335700035095, 0.3830496370792389, 0.5220372080802917, 0.48482567071914673, 0.28600257635116577, 0.6503085494041443, 0.6397135257720947, 0.5669013261795044, 0.5412886738777161, 0.5850922465324402, 0.49408575892448425, 0.7555218935012817, 0.16028328239917755, 0.31148508191108704, 0.5394951105117798, 0.6744599938392639, 0.5919740200042725, 0.6414197683334351, 0.5208362936973572, 0.4755857586860657, 0.47680020332336426, 0.43131324648857117, 0.32094842195510864, 0.5192388296127319, 0.5105270147323608, 0.41175976395606995, 0.6315630674362183, 0.28268587589263916, 0.4899720847606659, 0.5774166584014893]",1100101110000011001001100011101110101001111101001111100001101001,0000111111010100000001100001101100001000011010110111101010001001
"[0.4652804434299469, 0.5008561611175537, 0.5046634078025818, 0.5401819944381714, 0.4995104670524597, 0.5179213285446167, 0.5229452252388, 0.48073697090148926, 0.4747425615787506, 0.48765328526496887, 0.49936994910240173, 0.49536627531051636, 0.5038283467292786, 0.5426228642463684, 0.5191850662231445, 0.5138375163078308, 0.5104174017906189, 0.5125253796577454, 0.5358662605285645, 0.4936036765575409, 0.5003380179405212, 0.5381249189376831, 0.6935499906539917, 0.501821756362915, 0.4768313467502594, 0.8597686290740967, 0.5264843106269836, 0.4673677086830139, 0.49488747119903564, 0.48316648602485657, 0.4635052978992462, 0.4859810173511505, 0.48083096742630005, 0.500216543674469, 0.5168255567550659, 0.518909752368927, 0.4697744846343994, 0.46310991048812866, 0.5175495743751526, 0.4976196885108948, 0.4901182949542999, 0.567655086517334, 0.485253244638443, 0.49636387825012207, 0.44882118701934814, 0.4559093415737152, 0.49098095297813416, 0.4352976083755493, 0.5041948556900024, 0.4847588837146759, 0.5017127990722656, 0.5157132744789124, 0.4864705204963684, 0.5333085656166077, 0.4749149978160858, 0.45678284764289856, 0.571354329586029, 0.5056652426719666, 0.466476708650589, 0.5198612213134766, 0.48957812786102295, 0.5379540324211121, 0.501806378364563, 0.5376967787742615]",0111011000001111111011110110000001110010010000001011010011010111,0101100000010100100111101110101101110000001011111111000100101001
"[0.5254088640213013, 0.5018031001091003, 0.4458719789981842, 0.48598340153694153, 0.5091316103935242, 0.493817538022995, 0.5014610290527344, 0.5304041504859924, 0.5128889679908752, 0.5216507911682129, 0.4444444477558136, 0.504214882850647, 0.45144030451774597, 0.5240746736526489, 0.5580978393554688, 0.5527868866920471, 0.5226752758026123, 0.45986807346343994, 0.5820978283882141, 0.5124676823616028, 0.46582528948783875, 0.6808063983917236, 0.8910171985626221, 0.46662774682044983, 0.47404712438583374, 0.4066787362098694, 0.5450361371040344, 0.5723152160644531, 0.508567214012146, 0.47230562567710876, 0.5363593101501465, 0.5224499106407166, 0.509569525718689, 0.4853745996952057, 0.5723090171813965, 0.45500436425209045, 0.5039625763893127, 0.49112895131111145, 0.3982072174549103, 0.59156733751297, 0.5830717086791992, 0.5396590232849121, 0.5160987973213196, 0.4998585283756256, 0.49454209208488464, 0.6145878434181213, 0.38093462586402893, 0.41701871156692505, 0.48076871037483215, 0.542777955532074, 0.5065977573394775, 0.5743756294250488, 0.5390145778656006, 0.4704967141151428, 0.5160768628120422, 0.4311988651752472, 0.4533625841140747, 0.523887038230896, 0.5458341240882874, 0.4669337272644043, 0.549136221408844, 0.4203348755836487, 0.4658264219760895, 0.5245916843414307]",1100101111010111101101100011101110101001111001000111101001101001,1001001011110111111111111100011111011000000010010001011101001110
"[0.49048706889152527, 0.5505883693695068, 0.5034935474395752, 0.4633801579475403, 0.47359034419059753, 0.5102303624153137, 0.46886324882507324, 0.5563246011734009, 0.5160086750984192, 0.4617781341075897, 0.5073240995407104, 0.5044544339179993, 0.48673781752586365, 0.467965692281723, 0.46333828568458557, 0.49427273869514465, 0.45895737409591675, 0.4887024462223053, 0.5142413973808289, 0.5294622182846069, 0.4725152254104614, 0.5004740357398987, 0.3471127152442932, 0.5469937324523926, 0.44223910570144653, 0.8803158402442932, 0.4657188057899475, 0.34923553466796875, 0.4342800974845886, 0.5133635401725769, 0.5652411580085754, 0.5104402899742126, 0.5134679675102234, 0.5170318484306335, 0.5036061406135559, 0.5401555895805359, 0.5141187310218811, 0.48125600814819336, 0.4826219081878662, 0.4925335645675659, 0.5238308310508728, 0.48855194449424744, 0.4734923243522644, 0.5442801117897034, 0.5501601696014404, 0.5378715991973877, 0.6130053400993347, 0.5008581280708313, 0.49378666281700134, 0.48239389061927795, 0.5416953563690186, 0.47386327385902405, 0.49201664328575134, 0.5400782227516174, 0.4430153965950012, 0.5581900477409363, 0.5108610391616821, 0.5348589420318604, 0.46774858236312866, 0.49556341767311096, 0.4891332685947418, 0.5333044528961182, 0.5032884478569031, 0.47815370559692383]",0110010110110000001101010100011111111000100111110010010111000110,1100010100011000100110001101001100001001000110100001110010111011
"[0.5410501956939697, 0.4638819694519043, 0.49669522047042847, 0.4611736834049225, 0.539483368396759, 0.4788132607936859, 0.48435214161872864, 0.5417795181274414, 0.49150508642196655, 0.4292360544204712, 0.47617805004119873, 0.5043094158172607, 0.49309128522872925, 0.4755149185657501, 0.5023249387741089, 0.48832404613494873, 0.3982081413269043, 0.4978695511817932, 0.4584849774837494, 0.42092451453208923, 0.44260865449905396, 0.4832969903945923, 0.5586174130439758, 0.48601189255714417, 0.5543845891952515, 0.04946586862206459, 0.5247930288314819, 0.8351351022720337, 0.5081920623779297, 0.5239658951759338, 0.5052474141120911, 0.5408031940460205, 0.5193953514099121, 0.44963017106056213, 0.45096802711486816, 0.46580326557159424, 0.5219900012016296, 0.4859509766101837, 0.4954617917537689, 0.5353564023971558, 0.4823172390460968, 0.47363948822021484, 0.46784359216690063, 0.5573533177375793, 0.48638227581977844, 0.5622460246086121, 0.3091696798801422, 0.4652584493160248, 0.5762714147567749, 0.5433156490325928, 0.5767837762832642, 0.5424331426620483, 0.44238802790641785, 0.5124243497848511, 0.4575618803501129, 0.5524688959121704, 0.4311884343624115, 0.47038841247558594, 0.45437541604042053, 0.47001922130584717, 0.5494851469993591, 0.44638490676879883, 0.5374388098716736, 0.5181732177734375]",1000100100010010000000101011111110001001000101001111010100001011,1011111111010110110101010011110100110101010111101000111101101011
"[0.44631364941596985, 0.5438873767852783, 0.5021268129348755, 0.5548474192619324, 0.47940096259117126, 0.5079841017723083, 0.5790289044380188, 0.5333955883979797, 0.4884188771247864, 0.3979610502719879, 0.5044047236442566, 0.47759202122688293, 0.5334439873695374, 0.5241125226020813, 0.4828066825866699, 0.5095155239105225, 0.43327564001083374, 0.5163041949272156, 0.528892457485199, 0.5334641933441162, 0.47542741894721985, 0.5481514930725098, 0.6493329405784607, 0.5525943636894226, 0.41942641139030457, 0.9861815571784973, 0.5171675682067871, 0.3290320634841919, 0.44761860370635986, 0.4800475537776947, 0.4770047962665558, 0.47779223322868347, 0.47545701265335083, 0.5470856428146362, 0.5620673298835754, 0.5536556839942932, 0.4371662437915802, 0.45319870114326477, 0.5130123496055603, 0.4501814842224121, 0.48119407892227173, 0.6290816068649292, 0.4827275276184082, 0.5476117730140686, 0.47670745849609375, 0.4506756663322449, 0.603520929813385, 0.3725632131099701, 0.5411674380302429, 0.499857097864151, 0.547602653503418, 0.4719068109989166, 0.4395684003829956, 0.5850062966346741, 0.40212827920913696, 0.4750879108905792, 0.5671665072441101, 0.5439181923866272, 0.378348708152771, 0.50983726978302, 0.46040523052215576, 0.5861638784408569, 0.5125147700309753, 0.5574958324432373]",0111011100101101011101110110000001110010010100101010010011010111,1010001110100000001110100101101000110001000000001011000011000011
