prediction,predicted_bits,actual_bits,decrypted_predicted,decrypted_actual,cosine_similarity,per_sample_bit_accuracy
"[0.4635201692581177, 0.4979262351989746, 0.5014411211013794, 0.6259617209434509, 0.5182901620864868, 0.492553174495697, 0.5438893437385559, 0.44441741704940796, 0.5802290439605713, 0.5090517997741699, 0.45586466789245605, 0.548949658870697, 0.5072872638702393, 0.4956601560115814, 0.5083851218223572, 0.4145495891571045, 0.4976826310157776, 0.48183783888816833, 0.529683530330658, 0.46677741408348083, 0.4839065372943878, 0.4731934070587158, 0.49011293053627014, 0.49779781699180603, 0.5527060627937317, 0.5042354464530945, 0.5124045014381409, 0.49973753094673157, 0.5221680402755737, 0.4970974028110504, 0.4806714951992035, 0.49792733788490295, 0.5575007200241089, 0.4766242206096649, 0.4835840165615082, 0.5062990188598633, 0.5645025968551636, 0.48360463976860046, 0.5181161761283875, 0.49511051177978516, 0.5117296576499939, 0.503235936164856, 0.5083490014076233, 0.44746387004852295, 0.5088150501251221, 0.527283787727356, 0.4908319115638733, 0.4992066025733948, 0.5301597118377686, 0.49307429790496826, 0.5152418613433838, 0.4927825629711151, 0.47276997566223145, 0.44758841395378113, 0.5152060389518738, 0.5410990118980408, 0.5037407875061035, 0.49632522463798523, 0.5012683868408203, 0.4193524718284607, 0.47808972001075745, 0.4826493561267853, 0.4843114912509918, 0.44723451137542725]",0011101011011010001000001110100010011010111011001010001110100000,1000100111100100000000101111100111100000001111110101101101100101,XKT????,dog?????,0.7048989557594996,48.4375
"[0.39506086707115173, 0.5218170285224915, 0.517362654209137, 0.6769620776176453, 0.5114977955818176, 0.5266863703727722, 0.5593745112419128, 0.4236295819282532, 0.6055763959884644, 0.5701382160186768, 0.5065128207206726, 0.5794524550437927, 0.5499999523162842, 0.4661473035812378, 0.5097309947013855, 0.394630491733551, 0.487520307302475, 0.4740128815174103, 0.5349317193031311, 0.45219480991363525, 0.4758583903312683, 0.47522813081741333, 0.4874369204044342, 0.49871158599853516, 0.5146662592887878, 0.47948822379112244, 0.5109587907791138, 0.46112293004989624, 0.5114328861236572, 0.5131241083145142, 0.46853524446487427, 0.5189157128334045, 0.6148940920829773, 0.4997846782207489, 0.5085812211036682, 0.5288240909576416, 0.5892955660820007, 0.4804689884185791, 0.4962369501590729, 0.4982456862926483, 0.6116806268692017, 0.4920154809951782, 0.5114043354988098, 0.4270874857902527, 0.5178008079528809, 0.5296192169189453, 0.461841881275177, 0.48988106846809387, 0.470765084028244, 0.5258539319038391, 0.5543521046638489, 0.4737527370452881, 0.4923156201839447, 0.44296887516975403, 0.4965530335903168, 0.5221723914146423, 0.4971214830875397, 0.48743748664855957, 0.47617796063423157, 0.4090557098388672, 0.4477972686290741, 0.49847450852394104, 0.4952760934829712, 0.4428158700466156]",0111111011111010001000001010110110111000101011000110000100000000,0010010100101010101011001111101111110100100101001000001110010111,?i?,blank???,0.7108805821886397,53.125
"[0.5342312455177307, 0.49259480834007263, 0.5006006360054016, 0.437497615814209, 0.5423436164855957, 0.47351959347724915, 0.47946739196777344, 0.5792334079742432, 0.4332801103591919, 0.4692876636981964, 0.4708338677883148, 0.423230916261673, 0.3844364881515503, 0.502349853515625, 0.45535212755203247, 0.5599187016487122, 0.5169035196304321, 0.43275755643844604, 0.5203633904457092, 0.45528218150138855, 0.5246883630752563, 0.5370446443557739, 0.5144009590148926, 0.45443615317344666, 0.4890458285808563, 0.5570924878120422, 0.46303147077560425, 0.5282659530639648, 0.4580304026603699, 0.5154739618301392, 0.43996304273605347, 0.4570179283618927, 0.4443843960762024, 0.4911961257457733, 0.42039892077445984, 0.4417620003223419, 0.4072834551334381, 0.5374472737312317, 0.5291882157325745, 0.48764944076538086, 0.4442143738269806, 0.5333098769187927, 0.5429222583770752, 0.5093818306922913, 0.45203694701194763, 0.5124108195304871, 0.5569992065429688, 0.492789626121521, 0.4978563189506531, 0.4496504068374634, 0.5819068551063538, 0.563722550868988, 0.5018969178199768, 0.5644940733909607, 0.5341780185699463, 0.505023717880249, 0.5505254864692688, 0.519271731376648, 0.5022668242454529, 0.5633853077888489, 0.5990729928016663, 0.5108364820480347, 0.598908007144928, 0.530603289604187]",1010100100000101101011100101010000000110011101100011111111111111,0001011111000011001101000011000110101001110001111001101111100001,?e??,does????,0.6977766474383619,45.3125
"[0.4220021367073059, 0.5102950930595398, 0.5123372077941895, 0.6595688462257385, 0.5148698091506958, 0.5131784081459045, 0.5515573620796204, 0.42986273765563965, 0.5982432961463928, 0.5477939248085022, 0.48365238308906555, 0.5696948766708374, 0.5396129488945007, 0.48033297061920166, 0.5115840435028076, 0.4019365608692169, 0.4901673197746277, 0.4781840741634369, 0.5315074920654297, 0.4569130837917328, 0.4807197153568268, 0.47618356347084045, 0.49045369029045105, 0.500918447971344, 0.5293545722961426, 0.48741447925567627, 0.5120083093643188, 0.4715951979160309, 0.5212583541870117, 0.508285641670227, 0.4785004258155823, 0.5137212872505188, 0.5933507084846497, 0.49325859546661377, 0.4996441900730133, 0.520296573638916, 0.5780385136604309, 0.47984060645103455, 0.5052009224891663, 0.4988276958465576, 0.5747343897819519, 0.49592095613479614, 0.5119896531105042, 0.43693041801452637, 0.5129002332687378, 0.5283191800117493, 0.47006189823150635, 0.4928800165653229, 0.4915042817592621, 0.5110422968864441, 0.5366448163986206, 0.4787619709968567, 0.4850192666053772, 0.4442872107028961, 0.5009871125221252, 0.5278241634368896, 0.4976334571838379, 0.4940219223499298, 0.48449888825416565, 0.4120156466960907, 0.45918649435043335, 0.49167829751968384, 0.49036937952041626, 0.4442097544670105]",0111111011011010001000011010110110011010101011000110001100000000,0001011111100111000111001010100010010001111111110011010111001001,b?,amazing?,0.7413216811800317,51.5625
"[0.4283388555049896, 0.5079358816146851, 0.510704517364502, 0.6553590297698975, 0.5154135227203369, 0.5096399188041687, 0.5502758026123047, 0.4315573275089264, 0.5961225628852844, 0.5417715907096863, 0.47863659262657166, 0.5671395659446716, 0.5354037880897522, 0.48334771394729614, 0.511484682559967, 0.40344956517219543, 0.49100062251091003, 0.47905370593070984, 0.5309953689575195, 0.4581049084663391, 0.48142626881599426, 0.4756169319152832, 0.4903372824192047, 0.5008365511894226, 0.5333124399185181, 0.4899226129055023, 0.5122963190078735, 0.47545552253723145, 0.5223075747489929, 0.5065532326698303, 0.47969770431518555, 0.5116102695465088, 0.5881264805793762, 0.4906426668167114, 0.4972976744174957, 0.518082320690155, 0.5764833092689514, 0.47995519638061523, 0.507487416267395, 0.49834561347961426, 0.5649804472923279, 0.49720877408981323, 0.5117740631103516, 0.43855613470077515, 0.5120578408241272, 0.5282688736915588, 0.47261926531791687, 0.493693083524704, 0.49745944142341614, 0.508166491985321, 0.533039927482605, 0.48058855533599854, 0.483091801404953, 0.4441651701927185, 0.5028448700904846, 0.5299563407897949, 0.4984034299850464, 0.4948805868625641, 0.4871208071708679, 0.41254234313964844, 0.4620787501335144, 0.4903230667114258, 0.4890214800834656, 0.44430509209632874]",0111111011011010001000011010110110011010101011000110001100000000,1101001000111001010110100011001001011111111111110000100100001000,b?,ride????,0.7054459425804248,46.875
"[0.43144068121910095, 0.5069332122802734, 0.5099618434906006, 0.6528551578521729, 0.5155574083328247, 0.5080708861351013, 0.549568235874176, 0.4326866567134857, 0.5947211384773254, 0.5388332009315491, 0.47659289836883545, 0.5654903054237366, 0.5332035422325134, 0.4847373068332672, 0.5113316774368286, 0.4047498404979706, 0.4914384186267853, 0.47935768961906433, 0.5306615233421326, 0.4589795172214508, 0.48188334703445435, 0.475567489862442, 0.4903431236743927, 0.500609815120697, 0.5349254012107849, 0.4911498725414276, 0.512153148651123, 0.4773673415184021, 0.5224570035934448, 0.5057248473167419, 0.48022717237472534, 0.5106090903282166, 0.5851989984512329, 0.48947346210479736, 0.49628746509552, 0.5170027017593384, 0.5753478407859802, 0.48007798194885254, 0.5084222555160522, 0.49804359674453735, 0.5603765845298767, 0.49776318669319153, 0.5115622878074646, 0.43957608938217163, 0.5117985606193542, 0.5282272696495056, 0.4740731120109558, 0.49411121010780334, 0.5002217888832092, 0.5068387389183044, 0.5314745306968689, 0.4816478490829468, 0.4822928309440613, 0.4443162977695465, 0.5036742687225342, 0.5308807492256165, 0.49877431988716125, 0.4951930046081543, 0.48832470178604126, 0.4131718873977661, 0.46363866329193115, 0.48986321687698364, 0.48847541213035583, 0.44452422857284546]",0111111011011010001000011010110110011010101011001110001100000000,1001101000010011101000110101000001110101001111000000110000110000,??V??,outside?,0.6291714587755243,45.3125
"[0.4700329303741455, 0.49648943543434143, 0.4997040033340454, 0.6194956302642822, 0.5188790559768677, 0.48970115184783936, 0.5425243973731995, 0.44721534848213196, 0.576479434967041, 0.5031176805496216, 0.452564537525177, 0.5450277924537659, 0.5019344687461853, 0.497367262840271, 0.5072345733642578, 0.4171920418739319, 0.4988904893398285, 0.4821719527244568, 0.5293663144111633, 0.46888014674186707, 0.4842865467071533, 0.4728446304798126, 0.49023717641830444, 0.4968743324279785, 0.555650532245636, 0.5068153142929077, 0.5122091174125671, 0.5044233798980713, 0.5214325785636902, 0.49569517374038696, 0.48035749793052673, 0.4953155219554901, 0.5514984726905823, 0.47457680106163025, 0.481302946805954, 0.5041123628616333, 0.5617083311080933, 0.48475736379623413, 0.5198895335197449, 0.4947020411491394, 0.5027183294296265, 0.5042397379875183, 0.5073305368423462, 0.4493039846420288, 0.5084788799285889, 0.527055025100708, 0.4948059320449829, 0.5004373788833618, 0.5357951521873474, 0.490695983171463, 0.5121873617172241, 0.495248943567276, 0.47090333700180054, 0.4492623209953308, 0.5175463557243347, 0.5428287386894226, 0.5045336484909058, 0.4963501989841461, 0.5038391947746277, 0.42141786217689514, 0.48079657554626465, 0.4810950458049774, 0.48398634791374207, 0.4482904374599457]",0001101011011010001000001111100010011010111011011010001110100000,1111101011110111001001000010100111011010101001001001110011101000,????,hot?????,0.7388616383576788,62.5
"[0.5330632925033569, 0.4916994571685791, 0.5015524625778198, 0.4325064420700073, 0.543907642364502, 0.4744313657283783, 0.47256553173065186, 0.5857303738594055, 0.43085193634033203, 0.473478764295578, 0.46823740005493164, 0.420683354139328, 0.3851606845855713, 0.5027750134468079, 0.4519789516925812, 0.5653995871543884, 0.5142930150032043, 0.43137481808662415, 0.5186099410057068, 0.4495195746421814, 0.5259806513786316, 0.5430309176445007, 0.5197572708129883, 0.45976296067237854, 0.48116612434387207, 0.5603874325752258, 0.46145617961883545, 0.5245925188064575, 0.46038147807121277, 0.5172368288040161, 0.4388570189476013, 0.45710524916648865, 0.4443933069705963, 0.4957379102706909, 0.41977596282958984, 0.4342974126338959, 0.398653119802475, 0.5438178777694702, 0.5313105583190918, 0.4899618923664093, 0.4481320381164551, 0.5335886478424072, 0.5491639375686646, 0.5141011476516724, 0.44739824533462524, 0.5149371027946472, 0.5553945302963257, 0.4900873303413391, 0.48876243829727173, 0.4446438252925873, 0.5897282958030701, 0.5669040083885193, 0.5066103935241699, 0.5685383677482605, 0.5307219624519348, 0.49874112010002136, 0.5515610575675964, 0.5245910882949829, 0.5005667805671692, 0.5736550092697144, 0.6091048717498779, 0.5141248106956482, 0.6097395420074463, 0.5380592346191406]",1010100100000101101011100101010000000110011101100011111011111111,1110000101010011011000001011011101101010101110000101000010000111,???s,door????,0.6752322790075436,46.875
"[0.5350705981254578, 0.4931338429450989, 0.5001161098480225, 0.4409438669681549, 0.5414382815361023, 0.4726865887641907, 0.4841075539588928, 0.5746095776557922, 0.435065895318985, 0.4662460684776306, 0.4723968505859375, 0.4251023828983307, 0.38403400778770447, 0.5019142627716064, 0.4577700197696686, 0.555967390537262, 0.5187745094299316, 0.4339069128036499, 0.5216568112373352, 0.45890671014785767, 0.5238122344017029, 0.53296959400177, 0.5105946660041809, 0.45084136724472046, 0.49462369084358215, 0.554995059967041, 0.46426302194595337, 0.5310311913490295, 0.4564836323261261, 0.5140833258628845, 0.4406187832355499, 0.4568462371826172, 0.4445883333683014, 0.4880652129650116, 0.42080551385879517, 0.4467455744743347, 0.41309741139411926, 0.5332379341125488, 0.5280014872550964, 0.48596954345703125, 0.4412180185317993, 0.5332726240158081, 0.5386479496955872, 0.5060297250747681, 0.4550561010837555, 0.5107294917106628, 0.5581403374671936, 0.4947774410247803, 0.5042285323143005, 0.4529220759868622, 0.5764176249504089, 0.5617026090621948, 0.4987245500087738, 0.5614058971405029, 0.53680819272995, 0.5094475746154785, 0.5497503280639648, 0.5154757499694824, 0.5033230185508728, 0.5562728643417358, 0.5923497080802917, 0.5084391236305237, 0.5913808345794678, 0.5254462957382202]",1010100100000101101011100101010000000110011101101011011111111111,1111010001010111110101011111010100111011001000001100101000011000,????,shown???,0.7045783767801006,40.625
"[0.2584892809391022, 0.5952661037445068, 0.5515778064727783, 0.7941642999649048, 0.49799486994743347, 0.5900967121124268, 0.6222039461135864, 0.3593820333480835, 0.6760107278823853, 0.6912149786949158, 0.6156505942344666, 0.6584394574165344, 0.6024856567382812, 0.3866843581199646, 0.5004178881645203, 0.3107515871524811, 0.47707369923591614, 0.4542517066001892, 0.5709402561187744, 0.38793042302131653, 0.4358823299407959, 0.44103214144706726, 0.45513975620269775, 0.4946812093257904, 0.45030438899993896, 0.4419848918914795, 0.5237144827842712, 0.41578033566474915, 0.45682215690612793, 0.525844156742096, 0.4009966552257538, 0.5422723889350891, 0.7574858665466309, 0.5152894854545593, 0.5420336723327637, 0.5777552127838135, 0.6855316162109375, 0.4850318729877472, 0.45621466636657715, 0.48135000467300415, 0.7774321436882019, 0.48724591732025146, 0.5128707885742188, 0.34563538432121277, 0.5358781814575195, 0.5445533990859985, 0.41395625472068787, 0.4612201750278473, 0.37327057123184204, 0.6187772750854492, 0.6503469347953796, 0.4471406042575836, 0.515102207660675, 0.4212896227836609, 0.4970030188560486, 0.5103933215141296, 0.5012713670730591, 0.4407525062561035, 0.43850961327552795, 0.35881850123405457, 0.3913540244102478, 0.5193072557449341, 0.5147367715835571, 0.41082578897476196]",0111011011111010001000000010010111111000101011000110100110000110,1110110111111010111011101101101011001000011011000011101110111110,n????,cannot??,0.7916520731647947,56.25
