rounds,nl,sbox_name,hidden_size,avalanche_effect,is_random,plaintext_type,avg_cos,std_cos,bit_acc,avg_bit_acc,word_acc,total_samples
10,0,perfectly_linear,1024,,False,text,0.9044589910301238,0.03558249432920454,86.14,86.13696808510639,0.7092198581560284,141
10,0,perfectly_linear,128,,False,text,0.8996881972336397,0.03362338785716372,84.88,84.88475177304964,0.0,141
10,0,perfectly_linear,256,,False,text,0.9084178408305221,0.031747899194068306,86.04,86.0372340425532,0.0,141
10,0,perfectly_linear,512,,False,text,0.9098580751065983,0.0305929633648636,86.65,86.64671985815603,0.0,141
10,2,nonlinearity_two,1024,,False,text,0.7008710936524056,0.043594595902511094,50.52,50.520833333333336,0.0,141
10,2,nonlinearity_two,128,,False,text,0.6999669362853188,0.04407834452638828,50.14,50.14406028368794,0.0,141
10,2,nonlinearity_two,256,,False,text,0.700843188804511,0.04361281536341657,50.59,50.58732269503546,0.0,141
10,2,nonlinearity_two,512,,False,text,0.7008454058293997,0.043587917513479825,50.59,50.58732269503546,0.0,141
10,4,default_sbox,1024,,False,text,0.7080395712188298,0.043757082362807696,49.15,49.146719858156025,0.0,141
10,4,default_sbox,128,,False,text,0.707958161292264,0.04377601566987301,49.08,49.0802304964539,0.0,141
10,4,default_sbox,256,,False,text,0.7080024352541822,0.04375205953441906,49.15,49.146719858156025,0.0,141
10,4,default_sbox,512,,False,text,0.7080553434125029,0.043797713476990414,49.02,49.02482269503546,0.0,141
16,0,perfectly_linear,1024,,False,text,0.9076771154085632,0.030191739332494572,86.07,86.07047872340425,0.0,141
16,0,perfectly_linear,128,,False,text,0.9019448592097331,0.028893785902274576,85.7,85.70478723404256,0.0,141
16,0,perfectly_linear,256,,False,text,0.9069387869551897,0.03098885376257758,85.87,85.87101063829788,0.0,141
16,0,perfectly_linear,512,,False,text,0.904693437819858,0.03255100113523553,85.41,85.40558510638297,0.0,141
16,2,nonlinearity_two,1024,,False,text,0.7064342267536309,0.04348006440730736,50.06,50.05540780141844,0.0,141
16,2,nonlinearity_two,128,,False,text,0.7063710451708199,0.04348619049195432,49.89,49.88918439716312,0.0,141
16,2,nonlinearity_two,256,,False,text,0.7064376440498235,0.04348376656065236,50.01,50.011081560283685,0.0,141
16,2,nonlinearity_two,512,,False,text,0.706493613428753,0.043488171341624665,50.06,50.05540780141844,0.0,141
16,4,default_sbox,1024,,False,text,0.7038542959895482,0.04265942722904214,49.8,49.80053191489362,0.0,141
16,4,default_sbox,128,,False,text,0.7037643877045098,0.04267062751111013,49.66,49.656471631205676,0.0,141
16,4,default_sbox,256,,False,text,0.7038337594648088,0.04264568659036226,49.79,49.789450354609926,0.0,141
16,4,default_sbox,512,,False,text,0.7038189382963286,0.042664009569531286,49.75,49.74512411347518,0.0,141
1,0,perfectly_linear,1024,,False,text,0.999585811225511,0.0020829307549205265,99.94,99.94459219858156,96.45390070921985,141
1,0,perfectly_linear,128,,False,text,0.994789411083779,0.00860248973660074,99.51,99.51241134751773,80.1418439716312,141
1,0,perfectly_linear,256,,False,text,0.9981591909076228,0.005208813597885097,99.84,99.84485815602837,92.19858156028369,141
1,0,perfectly_linear,512,,False,text,0.9991798047961713,0.0033542148865502008,99.91,99.91134751773049,95.0354609929078,141
1,2,nonlinearity_two,1024,,False,text,0.9996336863753517,0.0015548471724462637,99.93,99.93351063829788,95.74468085106383,141
