Test Loss: 0.19411791861057281
Bit-Level Accuracy: 89.74%
prediction,predicted_bits,actual_bits
"[1.0, 0.5845755338668823, 1.0, 0.3524923622608185, 1.0, 0.873498797416687, 1.0, 0.998848557472229, 7.987654591576354e-13, 6.860855501145124e-05, 6.769782217447284e-13, 4.2635360841813963e-07, 3.2956697267050306e-12, 1.0, 2.5972522743611393e-12, 1.0, 1.0, 0.7424747347831726, 0.9896724224090576, 0.8232797980308533, 0.9960179924964905, 0.8848850131034851, 0.00011797622573794797, 0.00045338080963119864, 0.9999998807907104, 5.102544037072221e-06, 1.0, 0.9999920129776001, 3.202624654363717e-08, 1.3773687079776664e-08, 1.0, 4.5206647314444126e-08, 4.997671981116225e-12, 0.7456800937652588, 0.9896424412727356, 0.7006291747093201, 0.0038493431638926268, 0.2938743829727173, 0.00012368011812213808, 0.9937736988067627, 0.9999998807907104, 0.994976282119751, 1.0, 0.004084204323589802, 5.5394995257529445e-08, 0.0020490188617259264, 1.0, 0.0029478860087692738, 0.8759708404541016, 0.42772048711776733, 0.6643747091293335, 0.713092029094696, 0.2548885643482208, 0.2919897735118866, 0.9999946355819702, 0.998727023601532, 0.9999843835830688, 0.9961221814155579, 0.9999901056289673, 0.0018602224299684167, 1.0, 0.0003211201401427388, 1.0, 0.9993641972541809]",1110111100000101111111001011001001110001111000101011001111101011,1010111100000101111111001011001001110101111000101011001111101011
"[1.0, 0.003938649781048298, 1.0, 0.5937188267707825, 1.0, 0.6098102927207947, 1.0, 0.5695026516914368, 1.4202061748846972e-10, 0.697864294052124, 9.617847490650533e-11, 3.5630002059861e-08, 9.532613587381888e-11, 1.0, 1.0326319660469707e-10, 1.0, 1.0, 0.1517588496208191, 1.0, 0.5204436779022217, 1.0, 0.5601766109466553, 1.0, 0.490526407957077, 2.1545544370837888e-07, 0.35882365703582764, 0.9999995231628418, 6.6166880969831254e-06, 1.2535440241379092e-08, 0.9999996423721313, 1.0, 0.9999998807907104, 1.9429660658154546e-10, 0.1068972498178482, 1.0, 0.24451912939548492, 7.090298903555947e-10, 0.19796879589557648, 1.0, 0.683903694152832, 9.93056872289344e-08, 0.6709474325180054, 0.9999992847442627, 0.9999918937683105, 2.0222293173333128e-08, 0.9999996423721313, 1.0, 0.9999996423721313, 0.3973686099052429, 0.7646779417991638, 0.5124932527542114, 0.2555844187736511, 0.12652432918548584, 0.02853655070066452, 0.9529877305030823, 0.5358536839485168, 0.6698516011238098, 0.345851331949234, 0.9999963045120239, 6.845459211035632e-06, 1.0, 1.1440190064604394e-05, 1.0, 0.9999926090240479]",1011111101000101101111100010011100100011011101110110001110101011,1010111001000101101110100110011100100010001101111010001011101011
"[1.0, 0.6178944110870361, 1.0, 0.4954252541065216, 1.0, 0.6640282869338989, 1.0, 0.8676722049713135, 6.058015200594014e-11, 1.2361313395103934e-07, 9.806064987794016e-11, 2.5356878818882933e-09, 5.150036994083784e-11, 1.0, 1.2177360508847102e-10, 1.0, 1.0, 0.8743361234664917, 1.0, 0.8843751549720764, 0.9999957084655762, 0.8642210364341736, 0.9999998807907104, 0.6439775228500366, 0.9999990463256836, 2.1338788513958207e-09, 1.0, 0.9999936819076538, 5.33353250453672e-10, 1.758990606504085e-06, 1.0, 4.232636854339944e-07, 9.789900140555474e-11, 0.7556701898574829, 1.0, 0.9356946349143982, 1.3026093483858858e-06, 0.4152255654335022, 0.9999991655349731, 0.1675940752029419, 0.9999992847442627, 0.9999923706054688, 1.0, 0.0004462806973606348, 2.4683075028342216e-10, 5.689641329809092e-05, 1.0, 5.013325426261872e-05, 0.905241847038269, 0.44043663144111633, 0.6544554829597473, 0.5874992609024048, 0.06151684373617172, 0.030628085136413574, 0.04090561345219612, 0.40037664771080017, 0.9999648332595825, 0.00017582587315700948, 0.9999988079071045, 0.9999992847442627, 1.0, 0.9999978542327881, 1.0, 8.83162783793523e-07]",1110111100000101111111111011001001110010111000101011000010111110,1010111100000101111111111011001001110010111000101011000110111110
"[1.0, 0.12813633680343628, 1.0, 0.36023804545402527, 1.0, 0.5983452796936035, 1.0, 0.46010616421699524, 1.865929855071613e-09, 0.25285542011260986, 1.5648551343616646e-09, 0.6206147074699402, 1.8352466213400476e-09, 0.9005722403526306, 1.987234377054392e-09, 1.0, 1.0, 0.13215287029743195, 1.0, 0.703290581703186, 0.9999996423721313, 0.5848186612129211, 0.9999971389770508, 0.43473803997039795, 1.9645124211820075e-06, 0.3798827528953552, 1.9638341655081604e-06, 0.7470594048500061, 0.9999752044677734, 0.011407401412725449, 1.0, 0.9999983310699463, 2.4195010439598263e-09, 0.318931519985199, 0.9999998807907104, 0.5377405881881714, 2.151581099951727e-07, 0.4453337788581848, 0.9999979734420776, 0.6300281286239624, 1.7299307728535496e-06, 0.7291379570960999, 1.3070804243398015e-06, 0.7613085508346558, 0.9999616146087646, 0.011774291284382343, 1.0, 1.751883928591269e-06, 0.860784649848938, 0.7460490465164185, 0.8378365635871887, 0.7659924626350403, 0.3540855944156647, 0.5438385009765625, 0.6201589107513428, 0.43366819620132446, 0.8835543394088745, 0.8693220019340515, 0.8586559295654297, 0.5120034217834473, 0.6218032240867615, 0.7214040756225586, 1.0, 0.9999908208847046]",1010111000010101101111100001101100110011010110101111011011111111,1010111001010101101110110101101101100010010111101111000011111011
"[1.0, 0.000626186141744256, 1.0, 0.26156678795814514, 1.0, 0.3733503818511963, 1.0, 0.9411623477935791, 2.7020025961280842e-20, 2.25829199784755e-09, 2.0231504923661596e-20, 6.9949749118003446e-12, 2.2544146819995007e-20, 1.0, 3.436142838109942e-20, 1.0, 1.0, 0.669651985168457, 1.0, 0.018610192462801933, 1.0, 0.8663565516471863, 0.9999995231628418, 0.0001388259552186355, 1.0, 5.006675954898065e-13, 1.0, 1.0, 1.4359461563600087e-15, 2.394046332704347e-13, 1.0, 2.5317923213648286e-13, 1.1977993706835519e-20, 0.033201221376657486, 1.0, 0.003288373351097107, 3.736994880210176e-10, 0.2380121797323227, 0.9999997615814209, 0.9998831748962402, 1.0, 0.9999998807907104, 1.0, 8.180681021485725e-09, 1.0059033997533826e-15, 3.7344086156743117e-10, 1.0, 1.921037995344932e-09, 0.17713357508182526, 0.6993098258972168, 0.9961898326873779, 0.9995456337928772, 0.06761987507343292, 0.707452118396759, 0.9999830722808838, 0.9847002029418945, 1.0, 2.2763997549191117e-05, 1.0, 0.9999717473983765, 1.0, 0.9999991655349731, 1.0, 8.05127228886704e-07]",1010101100000101111011101011001000100011111000100111011110111110,1010111100000101101011101011001000100011111000100011011110111110
"[0.9999929666519165, 0.30378443002700806, 0.9999927282333374, 0.5623092651367188, 0.999993085861206, 0.7065519690513611, 0.9999897480010986, 0.48200517892837524, 6.684309937554644e-06, 0.38470497727394104, 5.521279490494635e-06, 0.5415419936180115, 7.3594701461843215e-06, 0.860785186290741, 8.257755325757898e-06, 0.9999929666519165, 0.9999945163726807, 0.4011547565460205, 0.999907374382019, 0.4049932062625885, 0.9997299313545227, 0.44903701543807983, 0.9951984286308289, 0.4471306800842285, 0.0016965403920039535, 0.5337769389152527, 0.00224787718616426, 0.6841756105422974, 0.9943569302558899, 0.02895297482609749, 0.9999927282333374, 0.9978064894676208, 7.096385161275975e-06, 0.5322209596633911, 0.9998934268951416, 0.24692897498607635, 0.00019731686916202307, 0.48846927285194397, 0.9963655471801758, 0.7648271322250366, 0.0016320972936227918, 0.6165868639945984, 0.0022654449567198753, 0.5430161356925964, 0.9940500855445862, 0.0470689982175827, 0.9999948740005493, 0.0005634209956042469, 0.7274169921875, 0.5071477890014648, 0.6977214813232422, 0.7335048317909241, 0.5396036505699158, 0.481148898601532, 0.8123559951782227, 0.7218143939971924, 0.7563314437866211, 0.5737001299858093, 0.8452296853065491, 0.4637884795665741, 0.9616482853889465, 0.35403501987457275, 0.9999881982803345, 0.9991005659103394]",1011111000010101101010100101101101100011010110101111101111101011,1111111101000101111111110101101100100010010010101101110111111011
"[1.0, 0.8631664514541626, 1.0, 0.3536079227924347, 1.0, 0.9456745386123657, 1.0, 0.9994961023330688, 1.9515452757490684e-14, 1.3873311218048912e-05, 8.86955642937469e-15, 2.0095835395750328e-07, 7.640149770433632e-14, 1.0, 9.140348119227384e-14, 1.0, 1.0, 0.8787440061569214, 0.9960162043571472, 0.7226665616035461, 0.9952309727668762, 0.8645646572113037, 9.89744730759412e-05, 0.00019134006288368255, 1.0, 1.2589156312969862e-06, 1.0, 0.9999991655349731, 2.4324060543534642e-09, 2.385796005199836e-09, 1.0, 4.383766682991563e-09, 1.1774713419999278e-13, 0.8124436140060425, 0.9967118501663208, 0.5198519229888916, 0.00521903857588768, 0.3833056092262268, 6.0014503105776384e-05, 0.9970021843910217, 1.0, 0.9934317469596863, 1.0, 0.0029619934502989054, 5.909205569309961e-09, 0.002929903334006667, 1.0, 0.005157882813364267, 0.9569903612136841, 0.2263515442609787, 0.7991222143173218, 0.9575063586235046, 0.42126017808914185, 0.41962486505508423, 0.9999991655349731, 0.9996080994606018, 0.9999982118606567, 0.9932770133018494, 0.9999994039535522, 0.0018550484674051404, 1.0, 0.0006015228573232889, 1.0, 0.998788058757782]",1110111100000101111111001011001001110001111000101011001111101011,1110111100000101101111001011001001110001111000101011111111101011
"[1.0, 0.4855819046497345, 1.0, 0.18713587522506714, 1.0, 0.12660770118236542, 1.0, 0.9526370167732239, 5.762632038219806e-11, 4.627613634511363e-07, 5.237028172233593e-11, 1.1184309478551313e-08, 5.3273888772631395e-11, 1.0, 1.4384636537467799e-10, 1.0, 1.0, 0.7941704392433167, 1.0, 0.882378101348877, 0.999997615814209, 0.9565511345863342, 1.0, 0.552217960357666, 0.9999759197235107, 1.2619812750358506e-08, 0.9999997615814209, 0.9999696016311646, 6.436994048897304e-09, 1.0924477464868687e-05, 1.0, 2.0095130821573548e-05, 1.9730551914509675e-10, 0.45609933137893677, 1.0, 0.913117527961731, 4.787686975760153e-07, 0.8075059056282043, 0.9999998807907104, 0.19279047846794128, 0.9999632835388184, 0.9999438524246216, 0.9999996423721313, 0.013037806376814842, 3.916219792898801e-09, 0.00037243880797177553, 1.0, 0.00017762822972144932, 0.881995677947998, 0.525739848613739, 0.9402728080749512, 0.8889451026916504, 0.06449515372514725, 0.3089917302131653, 0.02455787919461727, 0.2065535932779312, 0.9999775886535645, 0.0007918450282886624, 0.9999794960021973, 0.9999983310699463, 1.0, 0.9999984502792358, 1.0, 1.0034714250650723e-06]",1010101100000101111111111011001000110110111000101111000010111110,1010101100000101111111111011001001110110111000101011000010111110
"[1.0, 0.0017706224462017417, 1.0, 0.1988753229379654, 1.0, 0.14170406758785248, 1.0, 0.934377133846283, 2.2497170792945553e-11, 0.5696746110916138, 1.6808067090923196e-11, 1.2276117900000827e-07, 3.145189664266468e-11, 0.9999994039535522, 1.5128683028553525e-11, 1.0, 1.0, 0.1180548295378685, 1.0, 0.44234561920166016, 1.0, 0.8296318054199219, 1.0, 0.6412585973739624, 8.19129830631482e-09, 0.4908685088157654, 0.9979010820388794, 1.806266027415404e-06, 2.7016792500944575e-06, 0.9999998807907104, 1.0, 1.0, 8.262056316876709e-11, 0.017101701349020004, 1.0, 0.14721983671188354, 6.32686472656907e-11, 0.6368330121040344, 1.0, 0.14066322147846222, 2.5290705085723175e-09, 0.7694185376167297, 0.9980652928352356, 0.999997615814209, 7.464258487743791e-06, 0.9999996423721313, 1.0, 0.999995231628418, 0.37354838848114014, 0.9672363996505737, 0.8326312303543091, 0.14225997030735016, 0.04824291169643402, 0.0831814557313919, 0.26021620631217957, 0.18640708923339844, 0.6883094310760498, 0.7377710938453674, 0.9988023042678833, 5.4248535889200866e-05, 0.9999884366989136, 0.00010147305147256702, 1.0, 0.9999058246612549]",1010101101000101101011110010011100100110011101110110000011101011,1010101101000101101011100010011100100110001101110110000110101011
"[1.0, 0.023294951766729355, 1.0, 0.3821659982204437, 1.0, 0.1872304528951645, 1.0, 0.7607055306434631, 3.461929853898482e-09, 0.4435982406139374, 4.364211214635816e-09, 0.1908356249332428, 4.950263310377068e-09, 0.9998675584793091, 2.7878099828626546e-09, 1.0, 1.0, 0.13734816014766693, 1.0, 0.4956803023815155, 1.0, 0.7308558225631714, 1.0, 0.2714008688926697, 1.2424324040694046e-06, 0.12791727483272552, 4.504528078541625e-06, 0.4572622776031494, 0.00017364048107992858, 0.9999805688858032, 1.0, 0.999998927116394, 8.520559369173952e-09, 0.06165125593543053, 1.0, 0.39450228214263916, 2.6204105552096735e-08, 0.5055656433105469, 1.0, 0.5107113718986511, 6.492644502031908e-07, 0.9319328665733337, 2.608697059258702e-06, 0.6058434844017029, 0.00016996750491671264, 0.9999222755432129, 1.0, 0.9997929930686951, 0.5602481961250305, 0.7966920733451843, 0.8378326892852783, 0.6116907000541687, 0.1588737964630127, 0.5573009848594666, 0.46905437111854553, 0.1913747936487198, 0.9548631310462952, 0.9176123142242432, 0.36727696657180786, 0.5361681580543518, 0.9972067475318909, 0.9992318153381348, 1.0, 0.0003196996985934675]",1010101100000101101011100000011100100111010101111111010011011110,1011101001000101101011100001011100100110000001111111011011011110
