Test Loss: 0.585210919380188
Bit-Level Accuracy: 70.73%
prediction,predicted_bits,actual_bits
"[0.5648019313812256, 0.47446146607398987, 0.228371262550354, 0.06635265797376633, 0.461108535528183, 0.853914737701416, 0.6648517847061157, 0.8372222185134888, 0.287687748670578, 0.14945507049560547, 0.26158562302589417, 0.6191047430038452, 0.1933497190475464, 0.04567602276802063, 0.23022988438606262, 0.005605683196336031, 0.4779927432537079, 0.03052741102874279, 0.9797848463058472, 0.48001688718795776, 0.4852849245071411, 0.9300644993782043, 0.7553297877311707, 0.14221438765525818, 0.0004038161423522979, 0.7747291922569275, 0.1342422068119049, 0.5585938096046448, 0.4138239920139313, 0.786989688873291, 0.23717884719371796, 0.6264523863792419, 0.568388044834137, 0.4145931005477905, 0.8561814427375793, 0.9526825547218323, 0.28338396549224854, 0.27107635140419006, 0.18486729264259338, 0.5081056356430054, 0.08209647238254547, 0.9591668844223022, 0.1663549542427063, 0.7236367464065552, 0.18383891880512238, 0.10872162133455276, 0.6509898900985718, 0.1644800454378128, 0.6387183666229248, 0.8656238913536072, 0.08770141750574112, 0.8903288245201111, 0.03426922485232353, 0.46403759717941284, 0.44328877329826355, 0.37723636627197266, 0.8059024810791016, 0.15063509345054626, 0.5067476034164429, 0.08787408471107483, 0.7999463081359863, 0.006654694210737944, 0.9007844924926758, 0.185913547873497]",1000011100010000001001100101010110110001010100101101000010101010,1100010110010000001101100101011111010000011100111000010110001000
"[0.6368194222450256, 0.22512301802635193, 0.22642011940479279, 0.6706349849700928, 0.1545863151550293, 0.12940500676631927, 0.15788616240024567, 0.2159755975008011, 0.8871841430664062, 0.4263868033885956, 0.6639967560768127, 0.9679821729660034, 0.33966773748397827, 0.9650380611419678, 0.07823346555233002, 0.7579755783081055, 0.7033004760742188, 0.028387654572725296, 0.22751393914222717, 0.3509417772293091, 0.7019978761672974, 0.11014873534440994, 0.052353404462337494, 0.6391984820365906, 0.18019624054431915, 0.036726634949445724, 0.08473015576601028, 0.15052799880504608, 0.40426838397979736, 0.6117401719093323, 0.42830395698547363, 0.6965689659118652, 0.2620302140712738, 0.5387579202651978, 0.513443648815155, 0.01147822942584753, 0.8106997013092041, 0.06074178218841553, 0.5776067972183228, 0.10744059085845947, 0.10446516424417496, 0.5411521792411804, 0.7508336901664734, 0.007449127268046141, 0.6168882250785828, 0.4445020854473114, 0.2760222256183624, 0.6615885496139526, 0.002690016059204936, 0.27057090401649475, 0.30745160579681396, 0.7545691132545471, 0.9970448613166809, 0.3212910294532776, 0.5308501720428467, 0.32571613788604736, 0.5955772995948792, 0.8129271864891052, 0.8116375207901001, 0.21201209723949432, 0.35190513730049133, 0.992031455039978, 0.059005580842494965, 0.8908556699752808]",1001000010110101100010010000010101101010011010010001101011100101,1101010010010101110000000001100001101010001010010001101011000011
"[0.15634705126285553, 0.7282292246818542, 0.01351264026015997, 0.9533711671829224, 0.6716598272323608, 0.03887946158647537, 0.09081871062517166, 0.9688114523887634, 0.9074450135231018, 0.774090051651001, 0.5453240871429443, 0.38263458013534546, 0.7720723152160645, 0.0484892912209034, 0.0604068748652935, 0.6634299755096436, 0.8292945623397827, 0.7819541692733765, 0.022778093814849854, 0.4688156843185425, 0.8409926295280457, 0.8982886075973511, 0.5818120241165161, 0.9318903088569641, 0.1158619076013565, 0.6119592785835266, 0.7641527652740479, 0.09453015774488449, 0.8831407427787781, 0.7287575006484985, 0.9010282158851624, 0.954831063747406, 0.49659305810928345, 0.9261118173599243, 0.7944036722183228, 0.6328954696655273, 0.5159396529197693, 0.207797110080719, 0.4134116768836975, 0.9573586583137512, 0.8531715869903564, 0.15251792967319489, 0.8306633830070496, 0.018763480708003044, 0.06658115983009338, 0.6310946345329285, 0.10158714652061462, 0.1854671835899353, 0.10638841241598129, 0.15018711984157562, 0.8094533681869507, 0.5442095994949341, 0.5873358845710754, 0.16577056050300598, 0.621677577495575, 0.9126059412956238, 0.04036654904484749, 0.7816888689994812, 0.8907968401908875, 0.2930430471897125, 0.4490411579608917, 0.013422513380646706, 0.8306999802589417, 0.3027372658252716]",0101100111101001110011110110111101111001101001000011101101100010,0101110111000001110110110101101101110011001001010001111100011000
"[0.035356637090444565, 0.7924949526786804, 0.9944960474967957, 0.02178702875971794, 0.7560052275657654, 0.15983586013317108, 0.44881272315979004, 0.2003091275691986, 0.20747123658657074, 0.47794991731643677, 0.36967843770980835, 0.5100860595703125, 0.20637629926204681, 0.9995716214179993, 0.0004773480468429625, 0.046683166176080704, 0.04510512575507164, 0.9574485421180725, 0.9091004729270935, 0.24957166612148285, 0.5083232522010803, 0.33508849143981934, 0.5515294671058655, 0.1961142122745514, 0.985724687576294, 0.4174947738647461, 0.2934854328632355, 0.1408630907535553, 0.7390869855880737, 0.5475379228591919, 0.0631372407078743, 0.43279197812080383, 0.3932105600833893, 0.13719519972801208, 0.6403028964996338, 0.38378870487213135, 0.8950685262680054, 0.7247034907341003, 0.011295531876385212, 0.8015971779823303, 0.11607823520898819, 0.16827146708965302, 0.42929860949516296, 0.9954671859741211, 0.2934899628162384, 0.7397972941398621, 0.14466042816638947, 0.001594623434357345, 0.9884317517280579, 0.8407225608825684, 0.05221669748425484, 0.5628452301025391, 0.7459688782691956, 0.44570422172546387, 0.8483057618141174, 0.9742299318313599, 0.01989823579788208, 0.287431925535202, 0.08556364476680756, 0.8159711956977844, 0.14232249557971954, 0.027754979208111763, 0.09707171469926834, 0.9072318077087402]",0110100000010100011010101000110000101101000101001101101100010001,0110000011000100011001101001101010000101000101001100101100001001
"[0.15099972486495972, 0.40056464076042175, 0.37979018688201904, 0.7270992398262024, 0.5766115188598633, 0.8559787273406982, 0.13643920421600342, 0.9794396758079529, 0.37725216150283813, 0.33586737513542175, 0.19869092106819153, 0.5974003076553345, 0.43181201815605164, 0.013145627453923225, 0.9440197944641113, 0.049786414951086044, 0.8342645764350891, 0.3924124240875244, 0.3989264667034149, 0.6994807124137878, 0.8137804269790649, 0.6952348351478577, 0.4678938686847687, 0.8698850870132446, 0.6534281373023987, 0.127568319439888, 0.6990965604782104, 0.6109349131584167, 0.4573817849159241, 0.8566983938217163, 0.4667244255542755, 0.6368221044540405, 0.09904962033033371, 0.7134498953819275, 0.5499671697616577, 0.5462234020233154, 0.6704385280609131, 0.35990697145462036, 0.6110263466835022, 0.2534392476081848, 0.8361643552780151, 0.7280712127685547, 0.09265337884426117, 0.025303753092885017, 0.04167225584387779, 0.5439649820327759, 0.6087709665298462, 0.8607954978942871, 0.6521092057228088, 0.12462727725505829, 0.9184463024139404, 0.19890794157981873, 0.9721832871437073, 0.19131383299827576, 0.49598681926727295, 0.8696977496147156, 0.9193143248558044, 0.45759397745132446, 0.7549152970314026, 0.4417279362678528, 0.8419315218925476, 0.022743040695786476, 0.8410421013832092, 0.6480116248130798]",0001110100010010100111011011010101111010110001111010100110101011,0101011100011000101011110010001010010110100100110010101110111111
"[0.10454091429710388, 0.4932215213775635, 0.9029226303100586, 0.021720843389630318, 0.6483781933784485, 0.9773484468460083, 0.47828227281570435, 0.45318228006362915, 0.3356262147426605, 0.07813796401023865, 0.14979441463947296, 0.5396943092346191, 0.01734144799411297, 0.9482662677764893, 0.5034462213516235, 0.002718463307246566, 0.1460084617137909, 0.03086308389902115, 0.7273517847061157, 0.5250216722488403, 0.11632884293794632, 0.7902586460113525, 0.8753769993782043, 0.310666561126709, 0.9791408181190491, 0.5916404724121094, 0.901505708694458, 0.266073614358902, 0.20814929902553558, 0.5477181077003479, 0.49184295535087585, 0.6214836835861206, 0.04519026726484299, 0.6330528259277344, 0.9019395709037781, 0.9215676188468933, 0.33055171370506287, 0.0665186420083046, 0.027011871337890625, 0.11369282007217407, 0.18051959574222565, 0.19492687284946442, 0.02510228380560875, 0.4546054005622864, 0.17889192700386047, 0.32992517948150635, 0.6191062927246094, 0.3141278922557831, 0.9466951489448547, 0.2581208050251007, 0.020490936934947968, 0.4168478548526764, 0.9996922016143799, 0.12611350417137146, 0.2132657766342163, 0.8953221440315247, 0.28748488426208496, 0.5407522320747375, 0.6082793474197388, 0.7527468800544739, 0.8875070810317993, 0.03929414227604866, 0.23619374632835388, 0.9704431891441345]",0010110000010110001101101110010101110000000000101000100101111001,1010011010011010000011111100000000111000000000011101101100011111
"[0.3982495069503784, 0.6770573258399963, 0.08225168287754059, 0.727199912071228, 0.27540475130081177, 0.4255445897579193, 0.8402481079101562, 0.8725945353507996, 0.6324707269668579, 0.10831351578235626, 0.35081180930137634, 0.15788257122039795, 0.06146876513957977, 0.8696799874305725, 0.1314508467912674, 0.5801022052764893, 0.8441644310951233, 0.03482046723365784, 0.5909557342529297, 0.013711333274841309, 0.9785211086273193, 0.9974433183670044, 0.9556282758712769, 0.16887623071670532, 0.07102197408676147, 0.6723918914794922, 0.13058727979660034, 0.3239136338233948, 0.9583352208137512, 0.9185746312141418, 0.8703382611274719, 0.5168265700340271, 0.7497924566268921, 0.8767684102058411, 0.9201865196228027, 0.22958333790302277, 0.055973149836063385, 0.009045547805726528, 0.29531121253967285, 0.4389362037181854, 0.24901257455348969, 0.7815723419189453, 0.8218558430671692, 0.9363323450088501, 0.18388855457305908, 0.8502705097198486, 0.021669546142220497, 0.0009649581043049693, 0.04392928257584572, 0.8686486482620239, 0.2742280960083008, 0.8040812015533447, 0.011137274093925953, 0.44678208231925964, 0.8842675089836121, 0.7823379039764404, 0.09219378978013992, 0.5844773650169373, 0.8943606019020081, 0.13542552292346954, 0.013582821935415268, 0.00041098229121416807, 0.09342165291309357, 0.03530166298151016]",0101001110000101101011100100111111100000011101000101001101100000,0101011110000101100011100100110001010010011100000001011101010000
"[0.7268688678741455, 0.37720778584480286, 0.030434496700763702, 0.9804813265800476, 0.22856739163398743, 0.982573926448822, 0.49136632680892944, 0.22880394756793976, 0.11731605976819992, 0.87308669090271, 0.1757165491580963, 0.5220687985420227, 0.9070537090301514, 0.7072668671607971, 0.941368043422699, 0.9892093539237976, 0.7262144684791565, 0.5625326633453369, 0.8197324275970459, 0.13708440959453583, 0.5718479752540588, 0.9666864275932312, 0.5703482627868652, 0.36532536149024963, 0.9912402033805847, 0.6596136093139648, 0.6498289704322815, 0.5980703234672546, 0.22760416567325592, 0.9209985733032227, 0.5296007394790649, 0.34044647216796875, 0.978910505771637, 0.7209595441818237, 0.18566152453422546, 0.11574481427669525, 0.8485804200172424, 0.1858856976032257, 0.8564781546592712, 0.058304816484451294, 0.42443782091140747, 0.6862547993659973, 0.8922839164733887, 0.9333930611610413, 0.1407327800989151, 0.6609912514686584, 0.35640767216682434, 0.07796329259872437, 0.17988348007202148, 0.9736321568489075, 0.9141741991043091, 0.8107035756111145, 0.5754424333572388, 0.7897285223007202, 0.11861772835254669, 0.10893472284078598, 0.418520450592041, 0.6167223453521729, 0.4878682792186737, 0.21794815361499786, 0.9214874505996704, 0.010125640779733658, 0.667251467704773, 0.3037427067756653]",1001010001011111111011101111011011001010011101000111110001001010,1001110011001011001010101011011100011010001111010111110001111010
"[0.9305105209350586, 0.5723057985305786, 0.0065274788066744804, 0.09951889514923096, 0.23867279291152954, 0.9188194870948792, 0.9342244863510132, 0.5899417400360107, 0.2345639169216156, 0.09150423854589462, 0.856437087059021, 0.06544550508260727, 0.852825403213501, 0.42270150780677795, 0.45827993750572205, 0.9831067323684692, 0.07035724073648453, 0.5832430720329285, 0.8049136996269226, 0.9819911122322083, 0.6213497519493103, 0.576175332069397, 0.2684262692928314, 0.8096072673797607, 0.014245903119444847, 0.14779824018478394, 0.48872119188308716, 0.8566387295722961, 0.03966445103287697, 0.44179633259773254, 0.5807906985282898, 0.1453857719898224, 0.2515849769115448, 0.28067395091056824, 0.8455296754837036, 0.5773367881774902, 0.5878610014915466, 0.9797245264053345, 0.6063641905784607, 0.42402681708335876, 0.85516357421875, 0.8954576849937439, 0.7398162484169006, 0.19275015592575073, 0.5187999606132507, 0.9869108200073242, 0.29121267795562744, 0.16748154163360596, 0.8574120998382568, 0.0658826231956482, 0.3004474341869354, 0.08340267091989517, 0.22961798310279846, 0.198043093085289, 0.3816668391227722, 0.629288375377655, 0.9583534598350525, 0.9355159997940063, 0.9475494623184204, 0.5207100510597229, 0.7190112471580505, 0.952491283416748, 0.648093581199646, 0.07926636934280396]",1100011100101001011111010001001000111110111011001000000111111110,1000011001100001011111000010001110100110111011011110111110111110
"[0.2810134291648865, 0.7492512464523315, 0.6531340479850769, 0.8856595158576965, 0.2511424422264099, 0.9488222002983093, 0.2190643846988678, 0.686941385269165, 0.3512412905693054, 0.8215628862380981, 0.6736977100372314, 0.6951765418052673, 0.16254885494709015, 0.9917388558387756, 0.9481177926063538, 0.23159173130989075, 0.9004409909248352, 0.4437890946865082, 0.3080483078956604, 0.2710740864276886, 0.6922755241394043, 0.38238653540611267, 0.1292930692434311, 0.7355070114135742, 0.9957205653190613, 0.26852232217788696, 0.22437500953674316, 0.14304980635643005, 0.724119246006012, 0.44564393162727356, 0.04886368662118912, 0.8454418182373047, 0.9109095335006714, 0.9278205037117004, 0.5925876498222351, 0.4543800354003906, 0.9966502785682678, 0.6682210564613342, 0.43210938572883606, 0.44656941294670105, 0.7425970435142517, 0.2445428967475891, 0.8984515070915222, 0.4210151731967926, 0.250675767660141, 0.3533877432346344, 0.28769028186798096, 0.9563730359077454, 0.1796143352985382, 0.5265963673591614, 0.8306317329406738, 0.42876240611076355, 0.009217113256454468, 0.10238796472549438, 0.7776948809623718, 0.27880826592445374, 0.14363132417201996, 0.8808117508888245, 0.278548002243042, 0.8395214080810547, 0.9391117095947266, 0.45189234614372253, 0.1582568734884262, 0.8307874798774719]",0111010101110110100010011000100111101100101000010110001001011001,1101110100000110111000011101110101101011001011011110001001011001
